Pos,No,Driver,Car,Time
1,28,Gerhard BergerBER,Ferrari,1:17.620
2,5,Nigel MansellMAN,Williams Honda,1:17.951
3,1,Alain ProstPRO,McLaren TAG,1:17.994
4,6,Nelson PiquetPIQ,Williams Honda,1:18.164
5,12,Ayrton SennaSEN,Lotus Honda,1:18.354
6,27,Michele AlboretoALB,Ferrari,1:18.540
7,7,Riccardo PatresePAT,Brabham BMW,1:19.965
8,2,Stefan JohanssonJOH,McLaren TAG,1:20.134
9,20,Thierry BoutsenBOU,Benetton Ford,1:20.305
10,19,Teo FabiFAB,Benetton Ford,1:20.483
11,18,Eddie  CheeverCHE,Arrows Megatron,1:21.207
12,17,Derek WarwickWAR,Arrows Megatron,1:21.397
13,8,Andrea de CesarisDEC,Brabham BMW,1:21.725
14,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:21.784
15,11,Satoru NakajimaNAK,Lotus Honda,1:22.222
16,10,Christian DannerDAN,Zakspeed,1:22.358
17,9,Martin BrundleBRU,Zakspeed,1:22.400
18,25,Rene ArnouxARN,Ligier Megatron,1:23.237
19,30,Philippe AlliotALL,Lola Ford,1:23.580
20,23,Adrian CamposCAM,Minardi Motori Moderni,1:23.591
21,4,Philippe StreiffSTR,Tyrrell Ford,1:23.810
22,16,Ivan CapelliCAP,March Ford,1:23.905
23,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:24.105
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:24.217
25,21,Alex CaffiCAF,Osella Alfa Romeo,1:24.792
26,22,Franco ForiniFOR,Osella Alfa Romeo,1:26.635
27,14,Pascal FabreFAB,AGS Ford,1:26.946
