Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:39.264
2,12,Ayrton SennaSEN,Lotus Honda,1:40.607
3,6,Nelson PiquetPIQ,Williams Honda,1:40.942
4,20,Thierry BoutsenBOU,Benetton Ford,1:42.050
5,1,Alain ProstPRO,McLaren TAG,1:42.357
6,18,Eddie  CheeverCHE,Arrows Megatron,1:42.361
7,27,Michele AlboretoALB,Ferrari,1:42.684
8,19,Teo FabiFAB,Benetton Ford,1:42.918
9,7,Riccardo PatresePAT,Brabham BMW,1:43.479
10,17,Derek WarwickWAR,Arrows Megatron,1:43.541
11,2,Stefan JohanssonJOH,McLaren TAG,1:43.797
12,28,Gerhard BergerBER,Ferrari,1:43.816
13,3,Jonathan  PalmerPAL,Tyrrell Ford,1:44.350
14,4,Philippe StreiffSTR,Tyrrell Ford,1:45.037
15,9,Martin BrundleBRU,Zakspeed,1:45.291
16,10,Christian DannerDAN,Zakspeed,1:45.740
17,8,Andrea de CesarisDEC,Brabham BMW,1:46.046
18,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:46.083
19,21,Alex CaffiCAF,Osella Alfa Romeo,1:46.124
20,30,Philippe AlliotALL,Lola Ford,1:46.194
21,25,Rene ArnouxARN,Ligier Megatron,1:46.211
22,16,Ivan CapelliCAP,March Ford,1:46.269
23,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:47.471
24,11,Satoru NakajimaNAK,Lotus Honda,1:48.801
25,23,Adrian CamposCAM,Minardi Motori Moderni,1:50.495
26,14,Pascal FabreFAB,AGS Ford,1:53.644
