Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:18.383
2,28,Gerhard BergerBER,Ferrari,1:18.426
3,6,Nelson PiquetPIQ,Williams Honda,1:18.463
4,20,Thierry BoutsenBOU,Benetton Ford,1:18.691
5,1,Alain ProstPRO,McLaren TAG,1:18.742
6,19,Teo FabiFAB,Benetton Ford,1:18.992
7,12,Ayrton SennaSEN,Lotus Honda,1:19.089
8,7,Riccardo PatresePAT,Brabham BMW,1:19.889
9,27,Michele AlboretoALB,Ferrari,1:19.967
10,8,Andrea de CesarisDEC,Brabham BMW,1:20.141
11,17,Derek WarwickWAR,Arrows Megatron,1:21.664
12,18,Eddie  CheeverCHE,Arrows Megatron,1:21.705
13,9,Martin BrundleBRU,Zakspeed,1:21.711
14,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:22.035
15,2,Stefan JohanssonJOH,McLaren TAG,1:22.185
16,11,Satoru NakajimaNAK,Lotus Honda,1:22.214
17,10,Christian DannerDAN,Zakspeed,1:22.593
18,25,Rene ArnouxARN,Ligier Megatron,1:23.053
19,23,Adrian CamposCAM,Minardi Motori Moderni,1:23.955
20,16,Ivan CapelliCAP,March Ford,1:24.404
21,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:24.553
22,3,Jonathan  PalmerPAL,Tyrrell Ford,1:24.723
23,29,Yannick DalmasDAL,Lola Ford,1:24.745
24,30,Philippe AlliotALL,Lola Ford,1:25.096
25,4,Philippe StreiffSTR,Tyrrell Ford,1:26.305
26,21,Alex CaffiCAF,Osella Alfa Romeo,1:27.670
27,14,Pascal FabreFAB,AGS Ford,1:28.655
