Pos,No,Driver,Car,Time
1,6,Nelson PiquetPIQ,Williams Honda,1:07.110
2,5,Nigel MansellMAN,Williams Honda,1:07.180
3,12,Ayrton SennaSEN,Lotus Honda,1:08.181
4,1,Alain ProstPRO,McLaren TAG,1:08.577
5,20,Thierry BoutsenBOU,Benetton Ford,1:08.972
6,19,Teo FabiFAB,Benetton Ford,1:09.246
7,27,Michele AlboretoALB,Ferrari,1:09.274
8,28,Gerhard BergerBER,Ferrari,1:09.408
9,8,Andrea de CesarisDEC,Brabham BMW,1:09.475
10,2,Stefan JohanssonJOH,McLaren TAG,1:09.541
11,7,Riccardo PatresePAT,Brabham BMW,1:10.012
12,11,Satoru NakajimaNAK,Lotus Honda,1:10.619
13,17,Derek WarwickWAR,Arrows Megatron,1:10.654
14,18,Eddie  CheeverCHE,Arrows Megatron,1:11.053
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:12.293
16,25,Rene ArnouxARN,Ligier Megatron,1:12.402
17,9,Martin BrundleBRU,Zakspeed,1:12.632
18,10,Christian DannerDAN,Zakspeed,1:13.337
19,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:13.381
20,23,Adrian CamposCAM,Minardi Motori Moderni,1:13.793
21,21,Alex CaffiCAF,Osella Alfa Romeo,1:15.558
22,30,Philippe AlliotALL,Lola Ford,1:15.868
23,4,Philippe StreiffSTR,Tyrrell Ford,1:16.524
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:16.644
25,16,Ivan CapelliCAP,March Ford,1:16.692
26,14,Pascal FabreFAB,AGS Ford,1:18.237
