Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:42.616
2,12,Ayrton SennaSEN,Lotus Honda,1:42.873
3,1,Alain ProstPRO,McLaren TAG,1:43.202
4,6,Nelson PiquetPIQ,Williams Honda,1:43.705
5,27,Michele AlboretoALB,Ferrari,1:43.921
6,20,Thierry BoutsenBOU,Benetton Ford,1:45.066
7,8,Andrea de CesarisDEC,Brabham BMW,1:45.411
8,2,Stefan JohanssonJOH,McLaren TAG,1:45.428
9,19,Teo FabiFAB,Benetton Ford,1:45.497
10,28,Gerhard BergerBER,Ferrari,1:45.902
11,7,Riccardo PatresePAT,Brabham BMW,1:46.096
12,25,Rene ArnouxARN,Ligier Megatron,1:46.323
13,17,Derek WarwickWAR,Arrows Megatron,1:46.525
14,11,Satoru NakajimaNAK,Lotus Honda,1:46.760
15,18,Eddie  CheeverCHE,Arrows Megatron,1:47.780
16,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:47.887
17,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:49.236
18,23,Adrian CamposCAM,Minardi Motori Moderni,1:49.668
19,9,Martin BrundleBRU,Zakspeed,1:51.062
20,10,Christian DannerDAN,Zakspeed,1:51.448
21,30,Philippe AlliotALL,Lola Ford,1:52.760
22,4,Philippe StreiffSTR,Tyrrell Ford,1:53.528
23,3,Jonathan  PalmerPAL,Tyrrell Ford,1:54.491
24,16,Ivan CapelliCAP,March Ford,1:54.616
25,14,Pascal FabreFAB,AGS Ford,1:54.997
26,21,Alex CaffiCAF,Osella Alfa Romeo,2:07.753
