Pos,No,Driver,Car,Time
1,6,Nelson PiquetPIQ,Williams Honda,1:23.460
2,5,Nigel MansellMAN,Williams Honda,1:23.559
3,28,Gerhard BergerBER,Ferrari,1:23.933
4,12,Ayrton SennaSEN,Lotus Honda,1:24.907
5,1,Alain ProstPRO,McLaren TAG,1:24.946
6,20,Thierry BoutsenBOU,Benetton Ford,1:25.004
7,19,Teo FabiFAB,Benetton Ford,1:25.020
8,27,Michele AlboretoALB,Ferrari,1:25.247
9,7,Riccardo PatresePAT,Brabham BMW,1:25.525
10,8,Andrea de CesarisDEC,Brabham BMW,1:26.802
11,2,Stefan JohanssonJOH,McLaren TAG,1:27.031
12,17,Derek WarwickWAR,Arrows Megatron,1:27.543
13,18,Eddie  CheeverCHE,Arrows Megatron,1:28.022
14,11,Satoru NakajimaNAK,Lotus Honda,1:28.160
15,25,Rene ArnouxARN,Ligier Megatron,1:28.946
16,10,Christian DannerDAN,Zakspeed,1:29.465
17,9,Martin BrundleBRU,Zakspeed,1:29.725
18,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:29.738
19,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:29.898
20,23,Adrian CamposCAM,Minardi Motori Moderni,1:30.782
21,21,Alex CaffiCAF,Osella Alfa Romeo,1:31.029
22,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.028
23,30,Philippe AlliotALL,Lola Ford,1:33.170
24,4,Philippe StreiffSTR,Tyrrell Ford,1:33.264
25,16,Ivan CapelliCAP,March Ford,1:33.311
26,22,Franco ForiniFOR,Osella Alfa Romeo,1:33.816
27,32,Nicola LariniLAR,Coloni Ford,1:35.721
28,14,Pascal FabreFAB,AGS Ford,1:36.679
