Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:26.128
2,6,Nelson PiquetPIQ,Williams Honda,1:26.567
3,12,Ayrton SennaSEN,Lotus Honda,1:28.408
4,19,Teo FabiFAB,Benetton Ford,1:28.417
5,1,Alain ProstPRO,McLaren TAG,1:29.175
6,20,Thierry BoutsenBOU,Benetton Ford,1:29.450
7,28,Gerhard BergerBER,Ferrari,1:30.357
8,17,Derek WarwickWAR,Arrows Megatron,1:30.467
9,27,Michele AlboretoALB,Ferrari,1:30.468
10,2,Stefan JohanssonJOH,McLaren TAG,1:30.476
11,7,Riccardo PatresePAT,Brabham BMW,1:31.179
12,11,Satoru NakajimaNAK,Lotus Honda,1:32.276
13,8,Andrea de CesarisDEC,Brabham BMW,1:32.402
14,18,Eddie  CheeverCHE,Arrows Megatron,1:32.769
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:33.729
16,23,Adrian CamposCAM,Minardi Motori Moderni,1:33.825
17,10,Christian DannerDAN,Zakspeed,1:35.212
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:36.091
19,9,Martin BrundleBRU,Zakspeed,1:36.160
20,4,Philippe StreiffSTR,Tyrrell Ford,1:36.274
21,21,Alex CaffiCAF,Osella Alfa Romeo,1:38.770
22,14,Pascal FabreFAB,AGS Ford,1:39.816
23,16,Ivan CapelliCAP,March Ford,1:43.580
