Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:44.596
2,11,Alain ProstPRO,McLaren Honda,1:44.873
3,28,Gerhard BergerBER,Ferrari,1:46.115
4,27,Michele AlboretoALB,Ferrari,1:47.154
5,1,Nelson PiquetPIQ,Lotus Honda,1:47.681
6,19,Alessandro NanniniNAN,Benetton Ford,1:48.208
7,16,Ivan CapelliCAP,March Judd,1:48.703
8,2,Satoru NakajimaNAK,Lotus Honda,1:48.781
9,20,Thierry BoutsenBOU,Benetton Ford,1:48.837
10,15,Mauricio GugelminGUG,March Judd,1:49.511
11,5,Nigel MansellMAN,Williams Judd,1:49.880
12,17,Derek WarwickWAR,Arrows Megatron,1:50.459
13,6,Riccardo PatresePAT,Williams Judd,1:50.719
14,22,Andrea de CesarisDEC,Rial Ford,1:51.004
15,18,Eddie  CheeverCHE,Arrows Megatron,1:51.171
16,14,Philippe StreiffSTR,AGS Ford,1:51.642
17,25,Rene ArnouxARN,Ligier Judd,1:52.080
18,21,Nicola LariniLAR,Osella,1:52.168
19,36,Alex CaffiCAF,Dallara Ford,1:52.277
20,30,Philippe AlliotALL,Lola Ford,1:52.293
21,29,Yannick DalmasDAL,Lola Ford,1:52.436
22,10,Bernd SchneiderSCH,Zakspeed,1:52.664
23,9,Piercarlo GhinzaniGHI,Zakspeed,1:52.674
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:52.908
25,33,Stefano ModenaMOD,Euro Brun Ford,1:52.998
26,32,Oscar LarrauriLAR,Euro Brun Ford,1:53.043
27,24,Luis Perez-SalaPER,Minardi Ford,1:53.356
28,26,Stefan JohanssonJOH,Ligier Judd,1:53.507
29,4,Julian BaileyBAI,Tyrrell Ford,1:53.576
30,23,Pierluigi MartiniMAR,Minardi Ford,1:53.596
