Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:28.096
2,5,Nigel MansellMAN,Williams Judd,1:28.632
3,11,Alain ProstPRO,McLaren Honda,1:28.782
4,28,Gerhard BergerBER,Ferrari,1:29.026
5,1,Nelson PiquetPIQ,Lotus Honda,1:30.087
6,27,Michele AlboretoALB,Ferrari,1:30.114
7,20,Thierry BoutsenBOU,Benetton Ford,1:30.140
8,6,Riccardo PatresePAT,Williams Judd,1:30.439
9,16,Ivan CapelliCAP,March Judd,1:30.929
10,2,Satoru NakajimaNAK,Lotus Honda,1:31.280
11,17,Derek WarwickWAR,Arrows Megatron,1:31.723
12,19,Alessandro NanniniNAN,Benetton Ford,1:31.772
13,15,Mauricio GugelminGUG,March Judd,1:31.833
14,22,Andrea de CesarisDEC,Rial Ford,1:32.275
15,18,Eddie  CheeverCHE,Arrows Megatron,1:32.843
16,30,Philippe AlliotALL,Lola Ford,1:32.933
17,29,Yannick DalmasDAL,Lola Ford,1:33.408
18,25,Rene ArnouxARN,Ligier Judd,1:34.474
19,14,Philippe StreiffSTR,AGS Ford,1:34.481
20,24,Luis Perez-SalaPER,Minardi Ford,1:34.532
21,26,Stefan JohanssonJOH,Ligier Judd,1:34.579
22,3,Jonathan  PalmerPAL,Tyrrell Ford,1:34.686
23,23,Adrian CamposCAM,Minardi Ford,1:34.886
24,33,Stefano ModenaMOD,Euro Brun Ford,1:34.910
25,31,Gabriele TarquiniTAR,Coloni Ford,1:35.407
26,32,Oscar LarrauriLAR,Euro Brun Ford,1:35.711
27,4,Julian BaileyBAI,Tyrrell Ford,1:36.137
28,9,Piercarlo GhinzaniGHI,Zakspeed,1:37.621
29,21,Nicola LariniLAR,Osella,1:38.371
30,10,Bernd SchneiderSCH,Zakspeed,1:38.614
