Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:40.606
2,28,Gerhard BergerBER,Ferrari,1:41.464
3,27,Michele AlboretoALB,Ferrari,1:41.700
4,11,Alain ProstPRO,McLaren Honda,1:42.019
5,20,Thierry BoutsenBOU,Benetton Ford,1:42.690
6,5,Nigel MansellMAN,Williams Judd,1:42.897
7,19,Alessandro NanniniNAN,Benetton Ford,1:43.117
8,1,Nelson PiquetPIQ,Lotus Honda,1:43.314
9,17,Derek WarwickWAR,Arrows Megatron,1:43.799
10,6,Riccardo PatresePAT,Williams Judd,1:43.810
11,14,Philippe StreiffSTR,AGS Ford,1:44.204
12,22,Andrea de CesarisDEC,Rial Ford,1:44.216
13,15,Mauricio GugelminGUG,March Judd,1:44.474
14,30,Philippe AlliotALL,Lola Ford,1:44.590
15,18,Eddie  CheeverCHE,Arrows Megatron,1:44.948
16,23,Pierluigi MartiniMAR,Minardi Ford,1:45.048
17,3,Jonathan  PalmerPAL,Tyrrell Ford,1:45.268
18,26,Stefan JohanssonJOH,Ligier Judd,1:45.275
19,33,Stefano ModenaMOD,Euro Brun Ford,1:45.304
20,25,Rene ArnouxARN,Ligier Judd,1:45.437
21,16,Ivan CapelliCAP,March Judd,1:45.544
22,36,Alex CaffiCAF,Dallara Ford,1:45.750
23,4,Julian BaileyBAI,Tyrrell Ford,1:46.286
24,32,Oscar LarrauriLAR,Euro Brun Ford,1:46.390
25,29,Yannick DalmasDAL,Lola Ford,1:46.422
26,24,Luis Perez-SalaPER,Minardi Ford,1:46.593
27,21,Nicola LariniLAR,Osella,1:46.623
28,2,Satoru NakajimaNAK,Lotus Honda,1:47.243
29,10,Bernd SchneiderSCH,Zakspeed,1:48.249
30,9,Piercarlo GhinzaniGHI,Zakspeed,1:48.925
