Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,McLaren Honda,1:27.635
2,5,Nigel MansellMAN,Williams Judd,1:27.743
3,20,Thierry BoutsenBOU,Benetton Ford,1:27.970
4,16,Ivan CapelliCAP,March Judd,1:28.350
5,19,Alessandro NanniniNAN,Benetton Ford,1:28.493
6,6,Riccardo PatresePAT,Williams Judd,1:28.569
7,11,Alain ProstPRO,McLaren Honda,1:28.778
8,15,Mauricio GugelminGUG,March Judd,1:29.099
9,28,Gerhard BergerBER,Ferrari,1:29.244
10,36,Alex CaffiCAF,Dallara Ford,1:29.891
11,24,Luis Perez-SalaPER,Minardi Ford,1:30.103
12,17,Derek WarwickWAR,Arrows Megatron,1:30.185
13,1,Nelson PiquetPIQ,Lotus Honda,1:30.405
14,18,Eddie  CheeverCHE,Arrows Megatron,1:30.908
15,27,Michele AlboretoALB,Ferrari,1:31.052
16,23,Pierluigi MartiniMAR,Minardi Ford,1:31.123
17,29,Yannick DalmasDAL,Lola Ford,1:31.200
18,22,Andrea de CesarisDEC,Rial Ford,1:31.523
19,2,Satoru NakajimaNAK,Lotus Honda,1:31.646
20,30,Philippe AlliotALL,Lola Ford,1:31.719
21,3,Jonathan  PalmerPAL,Tyrrell Ford,1:31.741
22,31,Gabriele TarquiniTAR,Coloni Ford,1:32.160
23,14,Philippe StreiffSTR,AGS Ford,1:32.265
24,26,Stefan JohanssonJOH,Ligier Judd,1:32.342
25,25,Rene ArnouxARN,Ligier Judd,1:32.477
26,33,Stefano ModenaMOD,Euro Brun Ford,1:32.614
27,32,Oscar LarrauriLAR,Euro Brun Ford,1:32.987
28,10,Bernd SchneiderSCH,Zakspeed,1:33.357
29,4,Julian BaileyBAI,Tyrrell Ford,1:33.694
30,9,Piercarlo GhinzaniGHI,Zakspeed,1:34.701
