Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Jackie StewartSTE,Tyrrell Ford,38,1:52:21.500,9
2,1,Emerson FittipaldiFIT,Lotus Ford,38,+27.700s,6
3,9,Chris AmonAMO,Matra,38,+31.900s,4
4,7,Francois  Cevert CEV,Tyrrell Ford,38,+49.300s,3
5,12,Ronnie PetersonPET,March Ford,38,+56.800s,2
6,26,Mike HailwoodHAI,Surtees Ford,38,+96.100s,1
7,2,Denny HulmeHUL,McLaren Ford,38,+108.100s,0
8,19,Wilson FittipaldiFIT,Brabham Ford,38,+145.100s,0
9,11,Brian   RedmanRED,McLaren Ford,38,+175.500s,0
10,18,Graham HillHIL,Brabham Ford,38,+179.500s,0
11,3,Jacky IckxICK,Ferrari,37,+1 lap,0
12,20,Carlos ReutemannREU,Brabham Ford,37,+1 lap,0
13,30,Nanni  Galli GAL,Ferrari,37,+1 lap,0
14,28,Andrea de Adamich DEA,Surtees Ford,37,+1 lap,0
15,5,Jean-Pierre BeltoiseBEL,BRM,37,+1 lap,0
16,10,Rolf StommelenSTO,Eifelland Ford,37,+1 lap,0
17,27,Tim   SchenkenSCH,Surtees Ford,36,+2 laps,0
18,6,Dave  Walker WAL,Lotus Ford,34,DNF,0
NC,15,Mike  Beuttler BEU,March Ford,33,DNF,0
NC,8,Patrick DepaillerDEP,Tyrrell Ford,33,+5 laps,0
NC,24,Reine   WisellWIS,BRM,25,DNF,0
NC,17,Carlos PacePAC,March Ford,18,DNF,0
NC,25,Helmut  Marko MAR,BRM,8,DNF,0
NC,14,Niki LaudaLAU,March Ford,4,DNF,0
