Pos,No,Driver,Car,Lap,Time
1,4,Heinz-Harald FrentzenFRE,Williams Renault,32,1:18.805
2,9,Mika HakkinenHAK,McLaren Mercedes,27,1:19.576
3,7,Jean AlesiALE,Benetton Renault,65,1:19.716
4,3,Jacques VilleneuveVIL,Williams Renault,31,1:19.838
5,10,David CoulthardCOU,McLaren Mercedes,23,1:19.920
6,8,Gerhard BergerBER,Benetton Renault,61,1:19.996
7,1,Damon HillHIL,Arrows Yamaha,64,1:20.407
8,16,Johnny HerbertHER,Sauber Petronas,33,1:20.518
9,22,Rubens BarrichelloBAR,Stewart Ford,25,1:20.737
10,17,Gianni MorbidelliMOR,Sauber Petronas,31,1:20.865
11,14,Olivier PanisPAN,Prost Mugen Honda,29,1:21.086
12,2,Pedro DinizDIN,Arrows Yamaha,25,1:21.262
13,23,Jan MagnussenMAG,Stewart Ford,32,1:21.448
14,6,Eddie IrvineIRV,Ferrari,13,1:21.793
15,15,Shinji NakanoNAK,Prost Mugen Honda,14,1:21.969
16,19,Mika SaloSAL,Tyrrell Ford,26,1:21.996
17,18,Jos VerstappenVER,Tyrrell Ford,30,1:22.455
18,5,Michael SchumacherMSC,Ferrari,2,1:29.314
19,21,Tarso MarquesMAR,Minardi Hart,1,1:36.826
20,20,Ukyo KatayamaKAT,Minardi Hart,1,3:00.630
