Pos,No,Driver,Car,Lap,Time
1,9,Mika HakkinenHAK,McLaren Mercedes,49,1:24.808
2,4,Heinz-Harald FrentzenFRE,Williams Renault,47,1:25.600
3,8,Gerhard BergerBER,Benetton Renault,47,1:25.653
4,6,Eddie IrvineIRV,Ferrari,53,1:25.655
5,3,Jacques VilleneuveVIL,Williams Renault,20,1:25.715
6,5,Michael SchumacherMSC,Ferrari,47,1:25.863
7,11,Ralf SchumacherRSC,Jordan Peugeot,31,1:25.909
8,12,Giancarlo FisichellaFIS,Jordan Peugeot,28,1:25.960
9,10,David CoulthardCOU,McLaren Mercedes,31,1:25.975
10,7,Jean AlesiALE,Benetton Renault,52,1:26.067
11,15,Shinji NakanoNAK,Prost Mugen Honda,53,1:26.383
12,16,Johnny HerbertHER,Sauber Petronas,27,1:26.572
13,14,Jarno TrulliTRU,Prost Mugen Honda,44,1:26.718
14,1,Damon HillHIL,Arrows Yamaha,27,1:27.081
15,17,Gianni MorbidelliMOR,Sauber Petronas,26,1:27.257
16,23,Jan MagnussenMAG,Stewart Ford,21,1:27.447
17,22,Rubens BarrichelloBAR,Stewart Ford,20,1:27.571
18,19,Mika SaloSAL,Tyrrell Ford,12,1:28.004
19,18,Jos VerstappenVER,Tyrrell Ford,9,1:28.227
20,2,Pedro DinizDIN,Arrows Yamaha,3,1:28.569
21,21,Tarso MarquesMAR,Minardi Hart,7,1:29.116
22,20,Ukyo KatayamaKAT,Minardi Hart,3,1:29.133
