Pos,No,Driver,Car,Lap,Time
1,3,Jacques VilleneuveVIL,Williams Renault,43,1:52.692
2,16,Johnny HerbertHER,Sauber Petronas,44,1:53.615
3,8,Gerhard BergerBER,Benetton Renault,43,1:53.649
4,2,Pedro DinizDIN,Arrows Yamaha,42,1:53.652
5,4,Heinz-Harald FrentzenFRE,Williams Renault,43,1:53.874
6,1,Damon HillHIL,Arrows Yamaha,41,1:54.074
7,9,Mika HakkinenHAK,McLaren Mercedes,43,1:54.175
8,12,Giancarlo FisichellaFIS,Jordan Peugeot,39,1:54.688
9,17,Gianni MorbidelliMOR,Sauber Petronas,39,1:54.818
10,14,Jarno TrulliTRU,Prost Mugen Honda,37,1:55.152
11,6,Eddie IrvineIRV,Ferrari,29,1:55.290
12,5,Michael SchumacherMSC,Ferrari,41,1:55.340
13,7,Jean AlesiALE,Benetton Renault,30,1:55.348
14,20,Ukyo KatayamaKAT,Minardi Hart,41,1:55.413
15,23,Jan MagnussenMAG,Stewart Ford,41,1:55.726
16,19,Mika SaloSAL,Tyrrell Ford,43,1:56.919
17,11,Ralf SchumacherRSC,Jordan Peugeot,16,1:57.784
18,10,David CoulthardCOU,McLaren Mercedes,16,1:59.169
19,18,Jos VerstappenVER,Tyrrell Ford,16,1:59.409
20,21,Tarso MarquesMAR,Minardi Hart,16,2:02.753
21,22,Rubens BarrichelloBAR,Stewart Ford,5,2:16.804
22,15,Shinji NakanoNAK,Prost Mugen Honda,5,2:19.161
