Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Ferrari,34,1:24.475
2,3,Jacques VilleneuveVIL,Williams Renault,42,1:25.082
3,6,Eddie IrvineIRV,Ferrari,43,1:25.236
4,11,Ralf SchumacherRSC,Jordan Peugeot,35,1:25.872
5,9,Mika HakkinenHAK,McLaren Mercedes,38,1:25.988
6,12,Giancarlo FisichellaFIS,Jordan Peugeot,57,1:26.119
7,16,Johnny HerbertHER,Sauber Petronas,34,1:26.232
8,7,Jean AlesiALE,Benetton Renault,50,1:26.260
9,8,Alexander WurzWUR,Benetton Renault,51,1:26.429
10,1,Damon HillHIL,Arrows Yamaha,57,1:26.471
11,10,David CoulthardCOU,McLaren Mercedes,57,1:26.475
12,14,Jarno TrulliTRU,Prost Mugen Honda,57,1:26.610
13,15,Shinji NakanoNAK,Prost Mugen Honda,24,1:26.778
14,2,Pedro DinizDIN,Arrows Yamaha,25,1:27.111
15,23,Jan MagnussenMAG,Stewart Ford,32,1:27.586
16,17,Norberto FontanaFON,Sauber Petronas,17,1:27.783
17,22,Rubens BarrichelloBAR,Stewart Ford,35,1:27.877
18,19,Mika SaloSAL,Tyrrell Ford,35,1:28.053
19,21,Tarso MarquesMAR,Minardi Hart,32,1:29.100
20,18,Jos VerstappenVER,Tyrrell Ford,25,1:29.137
