Pos,No,Driver,Car,Lap,Time
1,8,Gerhard BergerBER,Benetton Renault,63,1:27.981
2,3,Jacques VilleneuveVIL,Williams Renault,54,1:28.028
3,11,Ralf SchumacherRSC,Jordan Peugeot,56,1:28.382
4,17,Nicola LariniLAR,Sauber Petronas,46,1:28.410
5,6,Eddie IrvineIRV,Ferrari,63,1:28.473
6,7,Jean AlesiALE,Benetton Renault,33,1:28.827
7,9,Mika HakkinenHAK,McLaren Mercedes,58,1:29.076
8,14,Olivier PanisPAN,Prost Mugen Honda,8,1:29.090
9,16,Johnny HerbertHER,Sauber Petronas,62,1:29.296
10,18,Jos VerstappenVER,Tyrrell Ford,43,1:29.541
11,23,Jan MagnussenMAG,Stewart Ford,48,1:29.834
12,15,Shinji NakanoNAK,Prost Mugen Honda,40,1:29.865
13,22,Rubens BarrichelloBAR,Stewart Ford,23,1:29.913
14,19,Mika SaloSAL,Tyrrell Ford,62,1:29.931
15,12,Giancarlo FisichellaFIS,Jordan Peugeot,19,1:30.278
16,21,Jarno TrulliTRU,Minardi Hart,53,1:30.593
17,1,Damon HillHIL,Arrows Yamaha,23,1:30.649
18,2,Pedro DinizDIN,Arrows Yamaha,42,1:31.111
19,4,Heinz-Harald FrentzenFRE,Williams Renault,5,1:31.832
20,20,Ukyo KatayamaKAT,Minardi Hart,29,1:31.869
