Pos,No,Driver,Car,Lap,Time
1,4,Heinz-Harald FrentzenFRE,Williams Renault,25,1:18.372
2,3,Jacques VilleneuveVIL,Williams Renault,15,1:19.066
3,12,Giancarlo FisichellaFIS,Jordan Peugeot,37,1:19.366
4,6,Eddie IrvineIRV,Ferrari,44,1:19.527
5,1,Damon HillHIL,Arrows Yamaha,13,1:19.648
6,11,Ralf SchumacherRSC,Jordan Peugeot,48,1:19.651
7,5,Michael SchumacherMSC,Ferrari,28,1:19.684
8,8,Gerhard BergerBER,Benetton Renault,52,1:19.923
9,15,Shinji NakanoNAK,Prost Mugen Honda,26,1:20.003
10,9,Mika HakkinenHAK,McLaren Mercedes,4,1:20.161
11,2,Pedro DinizDIN,Arrows Yamaha,46,1:20.317
12,10,David CoulthardCOU,McLaren Mercedes,19,1:20.329
13,7,Jean AlesiALE,Benetton Renault,57,1:20.573
14,16,Johnny HerbertHER,Sauber Petronas,28,1:20.606
15,20,Ukyo KatayamaKAT,Minardi Hart,46,1:20.672
16,14,Jarno TrulliTRU,Prost Mugen Honda,71,1:21.074
17,17,Gianni MorbidelliMOR,Sauber Petronas,4,1:21.167
18,22,Rubens BarrichelloBAR,Stewart Ford,23,1:21.409
19,19,Mika SaloSAL,Tyrrell Ford,67,1:21.578
20,23,Jan MagnussenMAG,Stewart Ford,3,1:21.628
21,18,Jos VerstappenVER,Tyrrell Ford,43,1:21.676
22,21,Tarso MarquesMAR,Minardi Hart,45,1:21.874
