Pos,No,Driver,Car,Lap,Time
1,4,Heinz-Harald FrentzenFRE,Williams Renault,48,1:38.942
2,5,Michael SchumacherMSC,Ferrari,48,1:39.268
3,7,Jean AlesiALE,Benetton Renault,29,1:39.381
4,11,Ralf SchumacherRSC,Jordan Peugeot,46,1:39.737
5,10,David CoulthardCOU,McLaren Mercedes,52,1:39.771
6,6,Eddie IrvineIRV,Ferrari,15,1:39.935
7,8,Gerhard BergerBER,Benetton Renault,48,1:39.998
8,9,Mika HakkinenHAK,McLaren Mercedes,24,1:40.151
9,3,Jacques VilleneuveVIL,Williams Renault,22,1:40.163
10,12,Giancarlo FisichellaFIS,Jordan Peugeot,45,1:40.217
11,16,Johnny HerbertHER,Sauber Petronas,49,1:40.266
12,14,Olivier PanisPAN,Prost Mugen Honda,34,1:40.430
13,1,Damon HillHIL,Arrows Yamaha,35,1:41.419
14,15,Shinji NakanoNAK,Prost Mugen Honda,15,1:41.608
15,2,Pedro DinizDIN,Arrows Yamaha,33,1:41.611
16,21,Tarso MarquesMAR,Minardi Hart,34,1:42.699
17,19,Mika SaloSAL,Tyrrell Ford,20,1:42.996
18,18,Jos VerstappenVER,Tyrrell Ford,49,1:43.051
19,22,Rubens BarrichelloBAR,Stewart Ford,3,1:43.883
20,23,Jan MagnussenMAG,Stewart Ford,3,1:44.089
21,20,Ukyo KatayamaKAT,Minardi Hart,5,1:44.403
