Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Ferrari,37,1:17.910
2,4,Heinz-Harald FrentzenFRE,Williams Renault,46,1:18.136
3,3,Jacques VilleneuveVIL,Williams Renault,27,1:18.649
4,8,Alexander WurzWUR,Benetton Renault,35,1:18.684
5,22,Rubens BarrichelloBAR,Stewart Ford,27,1:18.781
6,6,Eddie IrvineIRV,Ferrari,20,1:19.029
7,7,Jean AlesiALE,Benetton Renault,27,1:19.055
8,11,Ralf SchumacherRSC,Jordan Peugeot,27,1:19.225
9,12,Giancarlo FisichellaFIS,Jordan Peugeot,34,1:19.225
10,10,David CoulthardCOU,McLaren Mercedes,37,1:19.317
11,14,Jarno TrulliTRU,Prost Mugen Honda,32,1:19.417
12,17,Norberto FontanaFON,Sauber Petronas,35,1:19.849
13,23,Jan MagnussenMAG,Stewart Ford,32,1:19.912
14,9,Mika HakkinenHAK,McLaren Mercedes,14,1:20.153
15,19,Mika SaloSAL,Tyrrell Ford,31,1:20.385
16,1,Damon HillHIL,Arrows Yamaha,42,1:20.434
17,20,Ukyo KatayamaKAT,Minardi Hart,26,1:20.534
18,2,Pedro DinizDIN,Arrows Yamaha,55,1:20.557
19,15,Shinji NakanoNAK,Prost Mugen Honda,7,1:20.662
20,16,Johnny HerbertHER,Sauber Petronas,40,1:20.845
21,18,Jos VerstappenVER,Tyrrell Ford,15,1:22.034
22,21,Tarso MarquesMAR,Minardi Hart,4,1:22.325
