Pos,No,Driver,Car,Lap,Time
1,4,Heinz-Harald FrentzenFRE,Williams Renault,42,1:25.531
2,5,Michael SchumacherMSC,Ferrari,61,1:25.537
3,3,Jacques VilleneuveVIL,Williams Renault,21,1:25.997
4,10,David CoulthardCOU,McLaren Mercedes,33,1:26.067
5,12,Giancarlo FisichellaFIS,Jordan Peugeot,23,1:26.620
6,17,Nicola LariniLAR,Sauber Petronas,43,1:26.753
7,9,Mika HakkinenHAK,McLaren Mercedes,29,1:26.791
8,6,Eddie IrvineIRV,Ferrari,45,1:26.811
9,7,Jean AlesiALE,Benetton Renault,30,1:27.091
10,11,Ralf SchumacherRSC,Jordan Peugeot,17,1:27.217
11,16,Johnny HerbertHER,Sauber Petronas,17,1:27.594
12,22,Rubens BarrichelloBAR,Stewart Ford,28,1:27.741
13,2,Pedro DinizDIN,Arrows Yamaha,45,1:27.793
14,14,Olivier PanisPAN,Prost Mugen Honda,27,1:28.064
15,19,Mika SaloSAL,Tyrrell Ford,32,1:28.189
16,18,Jos VerstappenVER,Tyrrell Ford,54,1:28.886
17,1,Damon HillHIL,Arrows Yamaha,8,1:29.237
18,20,Ukyo KatayamaKAT,Minardi Hart,59,1:29.554
19,15,Shinji NakanoNAK,Prost Mugen Honda,11,1:30.554
20,8,Gerhard BergerBER,Benetton Renault,4,1:33.513
21,23,Jan MagnussenMAG,Stewart Ford,2,1:36.710
