Pos,No,Driver,Car,Lap,Time
1,3,Jacques VilleneuveVIL,Williams Renault,28,1:18.397
2,11,Ralf SchumacherRSC,Jordan Peugeot,29,1:18.441
3,8,Gerhard BergerBER,Benetton Renault,25,1:18.509
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,39,1:18.611
5,9,Mika HakkinenHAK,McLaren Mercedes,34,1:18.649
6,4,Heinz-Harald FrentzenFRE,Williams Renault,30,1:18.707
7,17,Nicola LariniLAR,Sauber Petronas,48,1:18.730
8,7,Jean AlesiALE,Benetton Renault,25,1:18.754
9,5,Michael SchumacherMSC,Ferrari,44,1:18.773
10,10,David CoulthardCOU,McLaren Mercedes,35,1:18.925
11,16,Johnny HerbertHER,Sauber Petronas,19,1:19.008
12,14,Olivier PanisPAN,Prost Mugen Honda,57,1:19.094
13,6,Eddie IrvineIRV,Ferrari,41,1:19.275
14,15,Shinji NakanoNAK,Prost Mugen Honda,39,1:19.657
15,1,Damon HillHIL,Arrows Yamaha,41,1:19.910
16,20,Ukyo KatayamaKAT,Minardi Hart,42,1:19.960
17,21,Jarno TrulliTRU,Minardi Hart,55,1:20.105
18,18,Jos VerstappenVER,Tyrrell Ford,43,1:20.274
19,19,Mika SaloSAL,Tyrrell Ford,61,1:20.376
20,2,Pedro DinizDIN,Arrows Yamaha,10,1:20.406
21,22,Rubens BarrichelloBAR,Stewart Ford,14,1:20.788
