Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Ferrari,26,1:53.315
2,11,Ralf SchumacherRSC,Jordan Peugeot,10,1:53.430
3,22,Rubens BarrichelloBAR,Stewart Ford,10,1:53.495
4,4,Heinz-Harald FrentzenFRE,Williams Renault,22,1:53.504
5,6,Eddie IrvineIRV,Ferrari,48,1:54.202
6,12,Giancarlo FisichellaFIS,Jordan Peugeot,9,1:54.806
7,19,Mika SaloSAL,Tyrrell Ford,22,1:54.968
8,18,Jos VerstappenVER,Tyrrell Ford,23,1:55.045
9,3,Jacques VilleneuveVIL,Williams Renault,14,1:55.218
10,23,Jan MagnussenMAG,Stewart Ford,27,1:55.303
11,14,Olivier PanisPAN,Prost Mugen Honda,18,1:55.309
12,7,Jean AlesiALE,Benetton Renault,9,1:55.451
13,16,Johnny HerbertHER,Sauber Petronas,8,1:55.840
14,8,Gerhard BergerBER,Benetton Renault,8,1:55.841
15,20,Ukyo KatayamaKAT,Minardi Hart,24,1:56.101
16,15,Shinji NakanoNAK,Prost Mugen Honda,19,1:56.906
17,17,Nicola LariniLAR,Sauber Petronas,19,1:56.940
18,21,Jarno TrulliTRU,Minardi Hart,7,2:00.038
19,10,David CoulthardCOU,McLaren Mercedes,1,2:11.201
20,9,Mika HakkinenHAK,McLaren Mercedes,1,2:15.786
21,1,Damon HillHIL,Arrows Yamaha,1,2:17.648
