Pos,No,Driver,Car,Lap,Time
1,8,Gerhard BergerBER,Benetton Renault,9,1:45.747
2,7,Jean AlesiALE,Benetton Renault,20,1:45.917
3,11,Ralf SchumacherRSC,Jordan Peugeot,24,1:46.127
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,34,1:46.274
5,1,Damon HillHIL,Arrows Yamaha,10,1:46.560
6,5,Michael SchumacherMSC,Ferrari,43,1:46.603
7,14,Jarno TrulliTRU,Prost Mugen Honda,23,1:46.733
8,9,Mika HakkinenHAK,McLaren Mercedes,9,1:46.831
9,3,Jacques VilleneuveVIL,Williams Renault,24,1:47.044
10,22,Rubens BarrichelloBAR,Stewart Ford,28,1:47.074
11,17,Norberto FontanaFON,Sauber Petronas,27,1:47.908
12,15,Shinji NakanoNAK,Prost Mugen Honda,24,1:47.939
13,23,Jan MagnussenMAG,Stewart Ford,14,1:48.189
14,2,Pedro DinizDIN,Arrows Yamaha,5,1:48.836
15,16,Johnny HerbertHER,Sauber Petronas,3,1:49.184
16,19,Mika SaloSAL,Tyrrell Ford,25,1:49.611
17,18,Jos VerstappenVER,Tyrrell Ford,4,1:50.159
18,20,Ukyo KatayamaKAT,Minardi Hart,22,1:50.161
19,10,David CoulthardCOU,McLaren Mercedes,1,2:22.236
20,4,Heinz-Harald FrentzenFRE,Williams Renault,1,3:13.699
21,6,Eddie IrvineIRV,Ferrari,1,3:16.256
