Pos,No,Driver,Car,Time
1,2,Carlos ReutemannREU,Williams Ford,1:17.821
2,1,Alan  JonesJON,Williams Ford,1:17.995
3,27,Gilles VilleneuveVIL,Ferrari,1:18.060
4,5,Nelson PiquetPIQ,Brabham Ford,1:18.161
5,15,Alain ProstPRO,Renault,1:18.433
6,7,John WatsonWAT,McLaren Ford,1:18.617
7,25,Patrick TambayTAM,Ligier Matra,1:18.681
8,23,Bruno GiacomelliGIA,Alfa Romeo,1:18.792
9,12,Nigel MansellMAN,Lotus Ford,1:19.044
10,22,Mario AndrettiAND,Alfa Romeo,1:19.068
11,29,Riccardo PatresePAT,Arrows Ford,1:19.152
12,26,Jacques LaffiteLAF,Ligier Matra,1:19.167
13,16,Rene ArnouxARN,Renault,1:19.197
14,8,Andrea de CesarisDEC,McLaren Ford,1:19.217
15,11,Elio de AngelisDEA,Lotus Ford,1:19.562
16,6,Hector RebaqueREB,Brabham Ford,1:19.571
17,4,Michele AlboretoALB,Tyrrell Ford,1:19.774
18,28,Didier PironiPIR,Ferrari,1:19.899
19,3,Eddie  CheeverCHE,Tyrrell Ford,1:20.475
20,20,Keke RosbergROS,Fittipaldi Ford,1:20.729
21,32,Jean-Pierre JarierJAR,Osella Hart,1:20.781
22,36,Derek WarwickWAR,Toleman Hart,1:21.294
23,33,Marc SurerSUR,Theodore Ford,1:21.430
24,14,Eliseo SalazarSAL,Ensign Ford,1:21.629
