Pos,No,Driver,Car,Time
1,32,Juan Manuel FangioFAN,Maserati,2:40.100
2,46,Alberto AscariASC,Ferrari,2:40.700
3,24,Nino FarinaFAR,Ferrari,2:42.600
4,8,Maurice  TrintignantTRI,Gordini,2:43.800
5,36,Onofre MarimonMAR,Maserati,2:44.500
6,28,Luigi  VilloresiVIL,Ferrari,2:44.600
7,26,Mike HawthornHAW,Ferrari,2:48.100
8,42,Toulo de GraffenriedDEG,Maserati,2:49.900
9,20,Ken  WhartonWHA,Cooper Bristol,2:51.500
10,30,Felice  BonettoBON,Maserati,2:52.000
11,34,Hermann LangLAN,Maserati,2:54.800
12,6,Jean BehraBEH,Gordini,2:55.000
13,2,Jacques SwatersSWA,Ferrari,2:55.100
14,10,Louis  RosierROS,Ferrari,2:55.400
15,16,Lance MacklinMAC,HWM Alta,2:57.100
16,14,Paul FrereFRE,HWM Alta,2:57.900
17,38,Peter HirtHIR,Ferrari,3:01.500
18,18,Albert ScherrerSCH,HWM Alta,3:07.400
19,40,Max de TerraDET,Ferrari,3:21.100
20,4,Chico LandiLAN,Maserati,3:29.700
