Pos,No,Driver,Car,Time
1,14,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,4:20.130
2,59,Fred AgabashianAGA,Kurtis Kraft Offenhauser,4:21.730
3,5,Jack McGrathMCG,Kurtis Kraft Offenhauser,4:23.540
4,88,Manny AyuloAYU,Kuzma Offenhauser,4:23.960
5,32,Andy LindenLIN,Stevens Offenhauser,4:24.590
6,98,Tony  BettenhausenBET,Kuzma Offenhauser,4:24.660
7,55,Jerry  HoytHOY,Kurtis Kraft Offenhauser,4:25.230
8,21,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,4:21.500
9,3,Sam HanksHAN,Kurtis Kraft Offenhauser,4:21.760
10,92,Rodger WardWAR,Kurtis Kraft Offenhauser,4:21.880
11,29,Bob ScottSCO,Bromme Offenhauser,4:21.950
12,16,Art CrossCRO,Kurtis Kraft Offenhauser,4:22.180
13,41,Gene HartleyHAR,Kurtis Kraft Offenhauser,4:22.270
14,23,Walt  FaulknerFAU,Kurtis Kraft Offenhauser,4:22.550
15,38,Don  FreelandFRE,Watson Offenhauser,4:23.030
16,97,Chuck  StevensonSTE,Kuzma Offenhauser,4:23.620
17,7,Paul RussoRUS,Kurtis Kraft Offenhauser,4:24.280
18,62,Spider WebbWEB,Kurtis Kraft Offenhauser,4:24.380
19,73,Carl ScarboroughSCA,Kurtis Kraft Offenhauser,4:24.830
20,12,Ernie McCoyMCC,Stevens Offenhauser,4:24.850
21,48,Jimmy  DaywaltDAY,Kurtis Kraft Offenhauser,4:25.200
22,22,Marshall  TeagueTEA,Kurtis Kraft Offenhauser,4:25.250
23,83,Mike NazarukNAZ,Kurtis Kraft Offenhauser,4:25.280
24,77,Pat FlahertyFLA,Kuzma Offenhauser,4:25.350
25,2,Jim RathmannRAT,Kurtis Kraft Offenhauser,4:25.360
26,9,Duke NalonNAL,Kurtis Kraft Novi,4:25.760
27,4,Duane CarterCAR,Kurtis Kraft Offenhauser,4:26.140
28,49,Bill HollandHOL,Kurtis Kraft Offenhauser,4:21.120
29,51,Bob SweikertSWE,Kuzma Offenhauser,4:23.020
30,99,Cal  NidayNID,Kurtis Kraft Offenhauser,4:24.520
31,8,Jimmy BryanBRY,Schroeder Offenhauser,4:25.670
32,53,Jimmy DaviesDAV,Kurtis Kraft Offenhauser,4:26.070
33,56,Johnny ThomsonTHO,Del Roy Offenhauser,4:26.150
