Pos,No,Driver,Car,Time,Gap,Laps
1,4,Felipe MassaMAS,Ferrari,1:21.901,,13
2,7,Kimi RäikkönenRAI,Lotus Renault,1:21.907,+0.006s,14
3,2,Mark WebberWEB,Red Bull Racing Renault,1:22.044,+0.143s,17
4,8,Romain GrosjeanGRO,Lotus Renault,1:22.069,+0.168s,13
5,1,Sebastian VettelVET,Red Bull Racing Renault,1:22.229,+0.328s,17
6,3,Fernando AlonsoALO,Ferrari,1:22.254,+0.353s,15
7,14,Paul di RestaDIR,Force India Mercedes,1:22.574,+0.673s,11
8,15,Adrian SutilSUT,Force India Mercedes,1:22.729,+0.828s,17
9,10,Lewis HamiltonHAM,Mercedes,1:22.740,+0.839s,24
10,18,Jean-Eric VergneVER,STR Ferrari,1:22.759,+0.858s,15
11,9,Nico RosbergROS,Mercedes,1:22.839,+0.938s,26
12,5,Jenson ButtonBUT,McLaren Mercedes,1:23.151,+1.250s,13
13,12,Esteban Gutierrez GUT,Sauber Ferrari,1:23.371,+1.470s,21
14,6,Sergio PerezPER,McLaren Mercedes,1:23.373,+1.472s,13
15,16,Pastor MaldonadoMAL,Williams Renault,1:23.385,+1.484s,17
16,11,Nico HulkenbergHUL,Sauber Ferrari,1:23.388,+1.487s,18
17,17,Valtteri BottasBOT,Williams Renault,1:23.660,+1.759s,16
18,19,Daniel RicciardoRIC,STR Ferrari,1:23.767,+1.866s,17
19,20,Charles PicPIC,Caterham Renault,1:24.775,+2.874s,18
20,22,Jules BianchiBIA,Marussia Cosworth,1:24.793,+2.892s,16
21,23,Max ChiltonCHI,Marussia Cosworth,1:25.135,+3.234s,17
22,21,Giedo van der GardeVDG,Caterham Renault,1:25.250,+3.349s,18
