Pos,No,Driver,Car,Time,Gap,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:36.733,,14
2,2,Mark WebberWEB,Red Bull Racing Renault,1:36.936,+0.203s,20
3,10,Lewis HamiltonHAM,Mercedes,1:37.064,+0.331s,22
4,11,Nico HulkenbergHUL,Sauber Ferrari,1:37.272,+0.539s,20
5,8,Romain GrosjeanGRO,Lotus Renault,1:37.345,+0.612s,20
6,5,Jenson ButtonBUT,McLaren Mercedes,1:37.534,+0.801s,18
7,9,Nico RosbergROS,Mercedes,1:37.578,+0.845s,24
8,6,Sergio PerezPER,McLaren Mercedes,1:37.583,+0.850s,19
9,17,Valtteri BottasBOT,Williams Renault,1:37.747,+1.014s,17
10,15,Adrian SutilSUT,Force India Mercedes,1:37.748,+1.015s,21
11,3,Fernando AlonsoALO,Ferrari,1:37.763,+1.030s,16
12,12,Esteban Gutierrez GUT,Sauber Ferrari,1:37.774,+1.041s,18
13,7,Heikki KovalainenKOV,Lotus Renault,1:37.879,+1.146s,21
14,16,Pastor MaldonadoMAL,Williams Renault,1:38.022,+1.289s,16
15,19,Daniel RicciardoRIC,STR Ferrari,1:38.109,+1.376s,23
16,14,Paul di RestaDIR,Force India Mercedes,1:38.275,+1.542s,22
17,4,Felipe MassaMAS,Ferrari,1:38.408,+1.675s,17
18,18,Jean-Eric VergneVER,STR Ferrari,1:38.636,+1.903s,21
19,20,Charles PicPIC,Caterham Renault,1:39.578,+2.845s,19
20,21,Giedo van der GardeVDG,Caterham Renault,1:40.056,+3.323s,21
21,22,Jules BianchiBIA,Marussia Cosworth,1:40.825,+4.092s,21
22,23,Max ChiltonCHI,Marussia Cosworth,1:41.293,+4.560s,18
