Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Nico RosbergROS,Mercedes,57,1:32:58.710,25
EX,3,Daniel RicciardoRIC,Red Bull Racing Renault,57,+24.525s,0
2,20,Kevin MagnussenMAG,McLaren Mercedes,57,+26.777s,18
3,22,Jenson ButtonBUT,McLaren Mercedes,57,+30.027s,15
4,14,Fernando AlonsoALO,Ferrari,57,+35.284s,12
5,77,Valtteri BottasBOT,Williams Mercedes,57,+47.639s,10
6,27,Nico HulkenbergHUL,Force India Mercedes,57,+50.718s,8
7,7,Kimi RäikkönenRAI,Ferrari,57,+57.675s,6
8,25,Jean-Eric VergneVER,STR Renault,57,+60.441s,4
9,26,Daniil KvyatKVY,STR Renault,57,+63.585s,2
10,11,Sergio PerezPER,Force India Mercedes,57,+85.916s,1
11,99,Adrian SutilSUT,Sauber Ferrari,56,+1 lap,0
12,21,Esteban Gutierrez GUT,Sauber Ferrari,56,+1 lap,0
13,4,Max ChiltonCHI,Marussia Ferrari,55,+2 laps,0
NC,17,Jules BianchiBIA,Marussia Ferrari,49,+8 laps,0
NC,8,Romain GrosjeanGRO,Lotus Renault,43,DNF,0
NC,13,Pastor MaldonadoMAL,Lotus Renault,29,DNF,0
NC,9,Marcus EricssonERI,Caterham Renault,27,DNF,0
NC,1,Sebastian VettelVET,Red Bull Racing Renault,3,DNF,0
NC,44,Lewis HamiltonHAM,Mercedes,2,DNF,0
NC,19,Felipe MassaMAS,Williams Mercedes,0,DNF,0
NC,10,Kamui KobayashiKOB,Caterham Renault,0,DNF,0
