Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,56,1:40:25.974,25
2,6,Nico RosbergROS,Mercedes,56,+17.313s,18
3,1,Sebastian VettelVET,Red Bull Racing Renault,56,+24.534s,15
4,14,Fernando AlonsoALO,Ferrari,56,+35.992s,12
5,27,Nico HulkenbergHUL,Force India Mercedes,56,+47.199s,10
6,22,Jenson ButtonBUT,McLaren Mercedes,56,+83.691s,8
7,19,Felipe MassaMAS,Williams Mercedes,56,+85.076s,6
8,77,Valtteri BottasBOT,Williams Mercedes,56,+85.537s,4
9,20,Kevin MagnussenMAG,McLaren Mercedes,55,+1 lap,2
10,26,Daniil KvyatKVY,STR Renault,55,+1 lap,1
11,8,Romain GrosjeanGRO,Lotus Renault,55,+1 lap,0
12,7,Kimi RäikkönenRAI,Ferrari,55,+1 lap,0
13,10,Kamui KobayashiKOB,Caterham Renault,55,+1 lap,0
14,9,Marcus EricssonERI,Caterham Renault,54,+2 laps,0
15,4,Max ChiltonCHI,Marussia Ferrari,54,+2 laps,0
NC,3,Daniel RicciardoRIC,Red Bull Racing Renault,49,DNF,0
NC,21,Esteban Gutierrez GUT,Sauber Ferrari,35,DNF,0
NC,99,Adrian SutilSUT,Sauber Ferrari,32,DNF,0
NC,25,Jean-Eric VergneVER,STR Renault,18,DNF,0
NC,17,Jules BianchiBIA,Marussia Ferrari,8,DNF,0
NC,13,Pastor MaldonadoMAL,Lotus Renault,7,DNF,0
NC,11,Sergio PerezPER,Force India Mercedes,0,DNS,0
