Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,56,1:40:04.785,25
2,6,Nico RosbergROS,Mercedes,56,+4.314s,18
3,3,Daniel RicciardoRIC,Red Bull Racing Renault,56,+25.560s,15
4,19,Felipe MassaMAS,Williams Mercedes,56,+26.924s,12
5,77,Valtteri BottasBOT,Williams Mercedes,56,+30.992s,10
6,14,Fernando AlonsoALO,Ferrari,56,+95.231s,8
7,1,Sebastian VettelVET,Red Bull Racing Renault,56,+95.734s,6
8,20,Kevin MagnussenMAG,McLaren Mercedes,56,+100.682s,4
9,13,Pastor MaldonadoMAL,Lotus Renault,56,+107.870s,2
10,25,Jean-Eric VergneVER,STR Renault,56,+108.863s,1
11,8,Romain GrosjeanGRO,Lotus Renault,55,+1 lap,0
12,22,Jenson ButtonBUT,McLaren Mercedes,55,+1 lap,0
13,7,Kimi RäikkönenRAI,Ferrari,55,+1 lap,0
14,21,Esteban Gutierrez GUT,Sauber Ferrari,55,+1 lap,0
15,26,Daniil KvyatKVY,STR Renault,55,+1 lap,0
NC,27,Nico HulkenbergHUL,Force India Mercedes,16,DNF,0
NC,11,Sergio PerezPER,Force India Mercedes,1,DNF,0
NC,99,Adrian SutilSUT,Sauber Ferrari,0,DNF,0
