Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,44,1:51:43.021,25
2,6,Nico RosbergROS,Mercedes,44,+9.180s,18
3,1,Sebastian VettelVET,Red Bull Racing Renault,44,+29.122s,15
4,3,Daniel RicciardoRIC,Red Bull Racing Renault,44,+38.818s,12
5,22,Jenson ButtonBUT,McLaren Mercedes,44,+67.550s,10
6,77,Valtteri BottasBOT,Williams Mercedes,44,+113.773s,8
7,19,Felipe MassaMAS,Williams Mercedes,44,+115.126s,6
8,27,Nico HulkenbergHUL,Force India Mercedes,44,+115.948s,4
9,25,Jean-Eric VergneVER,STR Renault,44,+127.638s,2
10,11,Sergio PerezPER,Force India Mercedes,43,DNF,1
11,26,Daniil KvyatKVY,STR Renault,43,+1 lap,0
12,7,Kimi RäikkönenRAI,Ferrari,43,+1 lap,0
13,21,Esteban Gutierrez GUT,Sauber Ferrari,43,+1 lap,0
14,20,Kevin MagnussenMAG,McLaren Mercedes,43,+1 lap,0
15,8,Romain GrosjeanGRO,Lotus Renault,43,+1 lap,0
16,13,Pastor MaldonadoMAL,Lotus Renault,43,+1 lap,0
17,9,Marcus EricssonERI,Caterham Renault,43,+1 lap,0
18,4,Max ChiltonCHI,Marussia Ferrari,43,+1 lap,0
19,10,Kamui KobayashiKOB,Caterham Renault,43,+1 lap,0
20,17,Jules BianchiBIA,Marussia Ferrari,41,DNF,0
21,99,Adrian SutilSUT,Sauber Ferrari,40,DNF,0
NC,14,Fernando AlonsoALO,Ferrari,2,DNF,0
