Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:51.900
2,6,Ronnie PetersonPET,Lotus Ford,1:51.990
3,1,Niki LaudaLAU,Brabham Alfa Romeo,1:52.290
4,20,Jody ScheckterSCH,Wolf Ford,1:52.680
5,2,John WatsonWAT,Brabham Alfa Romeo,1:52.840
6,27,Alan  JonesJON,Williams Ford,1:53.500
7,26,Jacques LaffiteLAF,Ligier Matra,1:53.540
8,7,James HuntHUN,McLaren Ford,1:53.540
9,15,Jean-Pierre JabouilleJAB,Renault,1:53.610
10,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:54.030
11,8,Patrick TambayTAM,McLaren Ford,1:54.040
12,11,Carlos ReutemannREU,Ferrari,1:54.170
13,4,Patrick DepaillerDEP,Tyrrell Ford,1:54.320
14,35,Riccardo PatresePAT,Arrows Ford,1:54.340
15,12,Gilles VilleneuveVIL,Ferrari,1:54.400
16,3,Didier PironiPIR,Tyrrell Ford,1:54.630
17,36,Rolf StommelenSTO,Arrows Ford,1:55.180
18,25,Hector RebaqueREB,Lotus Ford,1:55.570
19,32,Keke RosbergROS,Wolf Ford,1:55.570
20,19,Vittorio BrambillaBRA,Surtees Ford,1:55.860
21,22,Nelson PiquetPIQ,Ensign Ford,1:56.150
22,9,Jochen MassMAS,ATS Ford,1:56.210
23,23,Harald ErtlERT,Ensign Ford,1:56.250
24,16,Hans-Joachim StuckSTU,Shadow Ford,1:56.450
