Pos,No,Driver,Car,Time
1,11,Carlos ReutemannREU,Ferrari,1:20.636
2,12,Gilles VilleneuveVIL,Ferrari,1:20.836
3,1,Niki LaudaLAU,Brabham Alfa Romeo,1:20.937
4,5,Mario AndrettiAND,Lotus Ford,1:21.188
5,2,John WatsonWAT,Brabham Alfa Romeo,1:21.244
6,6,Ronnie PetersonPET,Lotus Ford,1:21.474
7,7,James HuntHUN,McLaren Ford,1:21.738
8,27,Alan  JonesJON,Williams Ford,1:21.935
9,35,Riccardo PatresePAT,Arrows Ford,1:22.006
10,20,Jody ScheckterSCH,Wolf Ford,1:22.163
11,8,Patrick TambayTAM,McLaren Ford,1:22.234
12,4,Patrick DepaillerDEP,Tyrrell Ford,1:22.414
13,15,Jean-Pierre JabouilleJAB,Renault,1:22.491
14,26,Jacques LaffiteLAF,Ligier Matra,1:22.630
15,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:22.790
16,9,Jochen MassMAS,ATS Ford,1:23.106
17,19,Vittorio BrambillaBRA,Surtees Ford,1:23.212
18,36,Rolf StommelenSTO,Arrows Ford,1:23.291
19,10,Jean-Pierre JarierJAR,ATS Ford,1:23.419
20,17,Clay RegazzoniREG,Shadow Ford,1:23.454
21,37,Arturo MerzarioMER,Merzario Ford,1:23.589
22,3,Didier PironiPIR,Tyrrell Ford,1:23.792
