Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:38.114
2,11,Carlos ReutemannREU,Ferrari,1:39.179
3,27,Alan  JonesJON,Williams Ford,1:39.742
4,12,Gilles VilleneuveVIL,Ferrari,1:39.820
5,1,Niki LaudaLAU,Brabham Alfa Romeo,1:39.892
6,7,James HuntHUN,McLaren Ford,1:39.991
7,2,John WatsonWAT,Brabham Alfa Romeo,1:40.000
8,55,Jean-Pierre JarierJAR,Lotus Ford,1:40.034
9,15,Jean-Pierre JabouilleJAB,Renault,1:40.136
10,26,Jacques LaffiteLAF,Ligier Matra,1:40.228
11,20,Jody ScheckterSCH,Wolf Ford,1:40.762
12,4,Patrick DepaillerDEP,Tyrrell Ford,1:40.828
13,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:41.007
14,16,Hans-Joachim StuckSTU,Shadow Ford,1:41.681
15,32,Keke RosbergROS,ATS Ford,1:41.773
16,3,Didier PironiPIR,Tyrrell Ford,1:41.815
17,17,Clay RegazzoniREG,Shadow Ford,1:41.855
18,8,Patrick TambayTAM,McLaren Ford,1:41.974
19,22,Derek DalyDAL,Ensign Ford,1:42.179
20,21,Bobby RahalRAH,Wolf Ford,1:42.429
21,18,Rene ArnouxARN,Surtees Ford,1:42.541
22,36,Rolf StommelenSTO,Arrows Ford,1:42.741
23,25,Hector RebaqueREB,Lotus Ford,1:43.028
24,23,Brett LungerLUN,Ensign Ford,1:43.067
25,9,Michael BleekemolenBLE,ATS Ford,1:43.572
26,37,Arturo MerzarioMER,Merzario Ford,1:44.286
