Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:22.058
2,2,John WatsonWAT,Brabham Alfa Romeo,1:22.737
3,1,Niki LaudaLAU,Brabham Alfa Romeo,1:22.783
4,6,Ronnie PetersonPET,Lotus Ford,1:23.120
5,35,Riccardo PatresePAT,Arrows Ford,1:23.369
6,20,Jody ScheckterSCH,Wolf Ford,1:23.621
7,12,Gilles VilleneuveVIL,Ferrari,1:23.730
8,11,Carlos ReutemannREU,Ferrari,1:23.737
9,27,Alan  JonesJON,Williams Ford,1:23.951
10,15,Jean-Pierre JabouilleJAB,Renault,1:23.963
11,26,Jacques LaffiteLAF,Ligier Matra,1:24.030
12,4,Patrick DepaillerDEP,Tyrrell Ford,1:24.203
13,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:24.274
14,7,James HuntHUN,McLaren Ford,1:24.761
15,8,Patrick TambayTAM,McLaren Ford,1:24.986
16,17,Clay RegazzoniREG,Shadow Ford,1:25.007
17,3,Didier PironiPIR,Tyrrell Ford,1:25.813
18,19,Vittorio BrambillaBRA,Surtees Ford,1:26.618
19,9,Jochen MassMAS,ATS Ford,1:26.787
20,16,Hans-Joachim StuckSTU,Shadow Ford,1:27.011
21,25,Hector RebaqueREB,Lotus Ford,1:27.139
22,37,Arturo MerzarioMER,Merzario Ford,1:27.479
23,32,Keke RosbergROS,Wolf Ford,1:27.560
24,36,Rolf StommelenSTO,Arrows Ford,1:27.812
