Pos,No,Driver,Car,Time
1,5,Mario AndrettiAND,Lotus Ford,1:37.520
2,12,Gilles VilleneuveVIL,Ferrari,1:37.866
3,15,Jean-Pierre JabouilleJAB,Renault,1:37.930
4,1,Niki LaudaLAU,Brabham Alfa Romeo,1:38.215
5,6,Ronnie PetersonPET,Lotus Ford,1:38.256
6,27,Alan  JonesJON,Williams Ford,1:38.271
7,2,John WatsonWAT,Brabham Alfa Romeo,1:38.610
8,26,Jacques LaffiteLAF,Ligier Matra,1:38.917
9,20,Jody ScheckterSCH,Wolf Ford,1:38.937
10,7,James HuntHUN,McLaren Ford,1:38.938
11,11,Carlos ReutemannREU,Ferrari,1:38.959
12,35,Riccardo PatresePAT,Arrows Ford,1:39.179
13,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:39.421
14,3,Didier PironiPIR,Tyrrell Ford,1:39.563
15,17,Clay RegazzoniREG,Shadow Ford,1:39.621
16,4,Patrick DepaillerDEP,Tyrrell Ford,1:39.630
17,16,Hans-Joachim StuckSTU,Shadow Ford,1:39.701
18,22,Derek DalyDAL,Ensign Ford,1:40.075
19,8,Patrick TambayTAM,McLaren Ford,1:40.163
20,33,Bruno GiacomelliGIA,McLaren Ford,1:40.199
21,30,Brett LungerLUN,McLaren Ford,1:40.302
22,37,Arturo MerzarioMER,Merzario Ford,1:40.702
23,19,Vittorio BrambillaBRA,Surtees Ford,1:40.805
24,29,Nelson PiquetPIQ,McLaren Ford,1:40.846
