Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:23.148,,27
2,10,Pierre GaslyGAS,AlphaTauri Honda,1:23.357,+0.209s,27
3,33,Max VerstappenVER,Red Bull Racing Honda,1:23.498,+0.350s,20
4,44,Lewis HamiltonHAM,Mercedes,1:23.570,+0.422s,25
5,4,Lando NorrisNOR,McLaren Mercedes,1:23.632,+0.484s,24
6,18,Lance StrollSTR,Aston Martin Mercedes,1:23.705,+0.557s,26
7,22,Yuki TsunodaTSU,AlphaTauri Honda,1:23.735,+0.587s,28
8,11,Sergio PerezPER,Red Bull Racing Honda,1:23.787,+0.639s,20
9,5,Sebastian VettelVET,Aston Martin Mercedes,1:24.020,+0.872s,27
10,55,Carlos SainzSAI,Ferrari,1:24.033,+0.885s,28
11,31,Esteban OconOCO,Alpine Renault,1:24.041,+0.893s,29
12,14,Fernando AlonsoALO,Alpine Renault,1:24.056,+0.908s,25
13,16,Charles LeclercLEC,Ferrari,1:24.095,+0.947s,23
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:24.135,+0.987s,24
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:24.631,+1.483s,26
16,63,George RussellRUS,Williams Mercedes,1:24.954,+1.806s,27
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:25.072,+1.924s,23
18,6,Nicholas LatifiLAT,Williams Mercedes,1:25.209,+2.061s,28
19,47,Mick SchumacherMSC,Haas Ferrari,1:25.575,+2.427s,27
