Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:29.018,,22
2,77,Valtteri BottasBOT,Mercedes,1:29.079,+0.061s,23
3,10,Pierre GaslyGAS,AlphaTauri Honda,1:29.099,+0.081s,22
4,33,Max VerstappenVER,Red Bull Racing Honda,1:29.213,+0.195s,20
5,14,Fernando AlonsoALO,Alpine Renault,1:29.441,+0.423s,21
6,31,Esteban OconOCO,Alpine Renault,1:29.555,+0.537s,22
7,55,Carlos SainzSAI,Ferrari,1:29.589,+0.571s,24
8,22,Yuki TsunodaTSU,AlphaTauri Honda,1:29.597,+0.579s,20
9,11,Sergio PerezPER,Red Bull Racing Honda,1:29.768,+0.750s,22
10,16,Charles LeclercLEC,Ferrari,1:29.772,+0.754s,23
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:29.968,+0.950s,22
12,4,Lando NorrisNOR,McLaren Mercedes,1:30.004,+0.986s,19
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:30.110,+1.092s,23
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:30.276,+1.258s,24
15,18,Lance StrollSTR,Aston Martin Mercedes,1:30.442,+1.424s,22
16,5,Sebastian VettelVET,Aston Martin Mercedes,1:30.502,+1.484s,22
17,63,George RussellRUS,Williams Mercedes,1:30.506,+1.488s,24
18,47,Mick SchumacherMSC,Haas Ferrari,1:30.652,+1.634s,20
19,6,Nicholas LatifiLAT,Williams Mercedes,1:31.039,+2.021s,23
20,9,Nikita MazepinMAZ,Haas Ferrari,1:31.629,+2.611s,20
