Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:17.301,,28
2,77,Valtteri BottasBOT,Mercedes,1:17.725,+0.424s,31
3,44,Lewis HamiltonHAM,Mercedes,1:17.810,+0.509s,26
4,11,Sergio PerezPER,Red Bull Racing Honda,1:17.871,+0.570s,26
5,55,Carlos SainzSAI,Ferrari,1:18.318,+1.017s,29
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:18.429,+1.128s,29
7,16,Charles LeclercLEC,Ferrari,1:18.605,+1.304s,28
8,22,Yuki TsunodaTSU,AlphaTauri Honda,1:18.644,+1.343s,31
9,5,Sebastian VettelVET,Aston Martin Mercedes,1:18.681,+1.380s,32
10,14,Fernando AlonsoALO,Alpine Renault,1:18.732,+1.431s,27
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:18.841,+1.540s,25
12,4,Lando NorrisNOR,McLaren Mercedes,1:18.979,+1.678s,27
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:19.227,+1.926s,31
14,31,Esteban OconOCO,Alpine Renault,1:19.431,+2.130s,37
15,3,Daniel RicciardoRIC,McLaren Mercedes,1:19.521,+2.220s,7
16,47,Mick SchumacherMSC,Haas Ferrari,1:19.620,+2.319s,30
17,18,Lance StrollSTR,Aston Martin Mercedes,1:19.730,+2.429s,36
18,6,Nicholas LatifiLAT,Williams Mercedes,1:20.820,+3.519s,17
19,9,Nikita MazepinMAZ,Haas Ferrari,1:21.581,+4.280s,28
20,63,George RussellRUS,Williams Mercedes,,,2
