Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:05.412,,37
2,3,Daniel RicciardoRIC,McLaren Mercedes,1:05.748,+0.336s,35
3,31,Esteban OconOCO,Alpine Renault,1:05.790,+0.378s,35
4,44,Lewis HamiltonHAM,Mercedes,1:05.796,+0.384s,35
5,14,Fernando AlonsoALO,Alpine Renault,1:05.827,+0.415s,39
6,5,Sebastian VettelVET,Aston Martin Mercedes,1:05.934,+0.522s,38
7,4,Lando NorrisNOR,McLaren Mercedes,1:05.994,+0.582s,39
8,18,Lance StrollSTR,Aston Martin Mercedes,1:06.079,+0.667s,36
9,11,Sergio PerezPER,Red Bull Racing Honda,1:06.089,+0.677s,36
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:06.145,+0.733s,37
11,55,Carlos SainzSAI,Ferrari,1:06.147,+0.735s,39
12,77,Valtteri BottasBOT,Mercedes,1:06.251,+0.839s,32
13,16,Charles LeclercLEC,Ferrari,1:06.270,+0.858s,39
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:06.297,+0.885s,41
15,22,Yuki TsunodaTSU,AlphaTauri Honda,1:06.451,+1.039s,39
16,63,George RussellRUS,Williams Mercedes,1:06.628,+1.216s,39
17,47,Mick SchumacherMSC,Haas Ferrari,1:06.886,+1.474s,29
18,9,Nikita MazepinMAZ,Haas Ferrari,1:07.404,+1.992s,30
19,6,Nicholas LatifiLAT,Williams Mercedes,1:07.669,+2.257s,32
