Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:23.804,,30
2,16,Charles LeclercLEC,Ferrari,1:23.970,+0.166s,29
3,77,Valtteri BottasBOT,Mercedes,1:24.214,+0.410s,31
4,11,Sergio PerezPER,Red Bull Racing Honda,1:24.373,+0.569s,28
5,33,Max VerstappenVER,Red Bull Racing Honda,1:24.439,+0.635s,27
6,4,Lando NorrisNOR,McLaren Mercedes,1:24.525,+0.721s,24
7,14,Fernando AlonsoALO,Alpine Renault,1:24.660,+0.856s,21
8,31,Esteban OconOCO,Alpine Renault,1:24.672,+0.868s,26
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:24.756,+0.952s,32
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:24.796,+0.992s,29
11,22,Yuki TsunodaTSU,AlphaTauri Honda,1:24.882,+1.078s,30
12,55,Carlos SainzSAI,Ferrari,1:24.903,+1.099s,34
13,18,Lance StrollSTR,Aston Martin Mercedes,1:25.020,+1.216s,31
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:25.060,+1.256s,23
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:25.143,+1.339s,27
16,5,Sebastian VettelVET,Aston Martin Mercedes,1:25.229,+1.425s,30
17,6,Nicholas LatifiLAT,Williams Mercedes,1:25.307,+1.503s,30
18,63,George RussellRUS,Williams Mercedes,1:25.358,+1.554s,29
19,47,Mick SchumacherMSC,Haas Ferrari,1:25.480,+1.676s,26
20,9,Nikita MazepinMAZ,Haas Ferrari,1:25.698,+1.894s,25
