Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:15.551,,25
2,44,Lewis HamiltonHAM,Mercedes,1:15.561,+0.010s,26
3,10,Pierre GaslyGAS,AlphaTauri Honda,1:15.629,+0.078s,30
4,55,Carlos SainzSAI,Ferrari,1:15.834,+0.283s,30
5,16,Charles LeclercLEC,Ferrari,1:16.371,+0.820s,28
6,11,Sergio PerezPER,Red Bull Racing Honda,1:16.411,+0.860s,25
7,22,Yuki TsunodaTSU,AlphaTauri Honda,1:16.419,+0.868s,26
8,4,Lando NorrisNOR,McLaren Mercedes,1:16.485,+0.934s,23
9,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:16.513,+0.962s,25
10,18,Lance StrollSTR,Aston Martin Mercedes,1:16.737,+1.186s,25
11,31,Esteban OconOCO,Alpine Renault,1:16.817,+1.266s,27
12,6,Nicholas LatifiLAT,Williams Mercedes,1:16.823,+1.272s,29
13,14,Fernando AlonsoALO,Alpine Renault,1:16.835,+1.284s,27
14,33,Max VerstappenVER,Red Bull Racing Honda,1:16.999,+1.448s,5
15,5,Sebastian VettelVET,Aston Martin Mercedes,1:17.092,+1.541s,27
16,63,George RussellRUS,Williams Mercedes,1:17.179,+1.628s,31
17,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:17.273,+1.722s,27
18,3,Daniel RicciardoRIC,McLaren Mercedes,1:17.281,+1.730s,24
19,47,Mick SchumacherMSC,Haas Ferrari,1:17.350,+1.799s,28
20,9,Nikita MazepinMAZ,Haas Ferrari,1:17.857,+2.306s,16
