Pos,No,Driver,Car,Lap,Time,Avg speed
1,4,Rubens BarrichelloBAR,Ferrari,41,1:31.481,208.685
2,3,Michael SchumacherMSC,Ferrari,28,1:31.752,208.069
3,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,34,1:32.110,207.260
4,1,Mika HakkinenHAK,McLaren Mercedes,18,1:32.433,206.536
5,9,Ralf SchumacherRSC,Williams BMW,50,1:32.525,206.331
6,16,Pedro DinizDIN,Sauber Petronas,38,1:32.977,205.328
7,22,Jacques VilleneuveVIL,BAR Honda,35,1:33.185,204.869
8,6,Jarno TrulliTRU,Jordan Mugen Honda,28,1:33.223,204.786
9,20,Marc GeneGEN,Minardi Fondmetal,54,1:33.231,204.768
10,10,Jenson ButtonBUT,Williams BMW,36,1:33.351,204.505
11,23,Ricardo ZontaZON,BAR Honda,34,1:33.435,204.321
12,11,Giancarlo FisichellaFIS,Benetton Playlife,34,1:33.449,204.291
13,12,Alexander WurzWUR,Benetton Playlife,33,1:33.459,204.269
14,17,Mika SaloSAL,Sauber Petronas,51,1:33.471,204.243
15,2,David CoulthardCOU,McLaren Mercedes,7,1:33.653,203.846
16,15,Nick HeidfeldHEI,Prost Peugeot,53,1:34.111,202.854
17,19,Jos VerstappenVER,Arrows Supertec,16,1:34.834,201.307
18,14,Jean AlesiALE,Prost Peugeot,18,1:35.088,200.769
19,21,Gaston MazzacaneMAZ,Minardi Fondmetal,33,1:35.241,200.447
20,18,Pedro de la RosaDLR,Arrows Supertec,6,1:35.663,199.563
21,7,Eddie IrvineIRV,Jaguar Cosworth,6,1:35.789,199.300
