Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,50,1:25.595,243.645
2,3,Michael SchumacherMSC,Ferrari,36,1:25.663,243.451
3,23,Ricardo ZontaZON,BAR Honda,22,1:26.433,241.282
4,9,Ralf SchumacherRSC,Williams BMW,49,1:26.636,240.717
5,11,Giancarlo FisichellaFIS,Benetton Playlife,46,1:26.731,240.453
6,12,Alexander WurzWUR,Benetton Playlife,44,1:26.869,240.071
7,19,Jos VerstappenVER,Arrows Supertec,31,1:27.033,239.619
8,16,Pedro DinizDIN,Sauber Petronas,44,1:27.215,239.119
9,17,Mika SaloSAL,Sauber Petronas,26,1:27.297,238.894
10,14,Jean AlesiALE,Prost Peugeot,47,1:27.978,237.045
11,22,Jacques VilleneuveVIL,BAR Honda,14,1:28.038,236.884
12,20,Marc GeneGEN,Minardi Fondmetal,31,1:28.131,236.634
13,21,Gaston MazzacaneMAZ,Minardi Fondmetal,49,1:28.299,236.183
14,15,Nick HeidfeldHEI,Prost Peugeot,14,1:29.580,232.806
15,10,Jenson ButtonBUT,Williams BMW,8,2:27.131,141.743
