Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,57,1:21.571,148.729
2,2,David CoulthardCOU,McLaren Mercedes,54,1:21.787,148.336
3,11,Giancarlo FisichellaFIS,Benetton Playlife,58,1:21.905,148.122
4,4,Rubens BarrichelloBAR,Ferrari,73,1:21.910,148.113
5,3,Michael SchumacherMSC,Ferrari,45,1:21.912,148.110
6,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,68,1:22.123,147.729
7,7,Eddie IrvineIRV,Jaguar Cosworth,67,1:22.424,147.190
8,17,Mika SaloSAL,Sauber Petronas,58,1:22.634,146.816
9,8,Johnny HerbertHER,Jaguar Cosworth,32,1:23.245,145.738
10,15,Nick HeidfeldHEI,Prost Peugeot,67,1:23.261,145.710
11,22,Jacques VilleneuveVIL,BAR Honda,73,1:23.393,145.479
12,6,Jarno TrulliTRU,Jordan Mugen Honda,35,1:23.466,145.352
13,23,Ricardo ZontaZON,BAR Honda,48,1:23.514,145.269
14,9,Ralf SchumacherRSC,Williams BMW,35,1:23.769,144.826
15,14,Jean AlesiALE,Prost Peugeot,27,1:23.949,144.516
16,20,Marc GeneGEN,Minardi Fondmetal,18,1:24.351,143.827
17,19,Jos VerstappenVER,Arrows Supertec,30,1:24.486,143.597
18,16,Pedro DinizDIN,Sauber Petronas,30,1:24.590,143.421
19,21,Gaston MazzacaneMAZ,Minardi Fondmetal,21,1:25.039,142.663
20,12,Alexander WurzWUR,Benetton Playlife,18,1:25.484,141.921
21,10,Jenson ButtonBUT,Williams BMW,14,1:25.740,141.497
