Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,56,1:26.217,214.663
2,3,Michael SchumacherMSC,Ferrari,59,1:26.428,214.138
3,9,Ralf SchumacherRSC,Williams BMW,49,1:26.998,212.735
4,2,David CoulthardCOU,McLaren Mercedes,31,1:27.093,212.503
5,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,41,1:27.286,212.034
6,4,Rubens BarrichelloBAR,Ferrari,34,1:27.496,211.525
7,10,Jenson ButtonBUT,Williams BMW,44,1:27.631,211.199
8,23,Ricardo ZontaZON,BAR Honda,27,1:27.655,211.141
9,6,Jarno TrulliTRU,Jordan Mugen Honda,36,1:27.824,210.735
10,8,Johnny HerbertHER,Jaguar Cosworth,53,1:28.001,210.311
11,7,Eddie IrvineIRV,Jaguar Cosworth,54,1:28.009,210.292
12,16,Pedro DinizDIN,Sauber Petronas,52,1:28.037,210.225
13,22,Jacques VilleneuveVIL,BAR Honda,32,1:28.093,210.091
14,11,Giancarlo FisichellaFIS,Benetton Playlife,32,1:28.116,210.036
15,17,Mika SaloSAL,Sauber Petronas,32,1:28.178,209.889
16,14,Jean AlesiALE,Prost Peugeot,43,1:28.388,209.390
17,12,Alexander WurzWUR,Benetton Playlife,34,1:28.487,209.156
18,20,Marc GeneGEN,Minardi Fondmetal,39,1:28.557,208.990
19,21,Gaston MazzacaneMAZ,Minardi Fondmetal,54,1:28.665,208.736
20,15,Nick HeidfeldHEI,Prost Peugeot,41,1:28.803,208.411
21,18,Pedro de la RosaDLR,Arrows Supertec,25,1:28.867,208.261
22,19,Jos VerstappenVER,Arrows Supertec,12,1:29.546,206.682
