Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,26,1:39.189,212.830
2,3,Michael SchumacherMSC,Ferrari,27,1:39.443,212.286
3,2,David CoulthardCOU,McLaren Mercedes,26,1:40.058,210.981
4,4,Rubens BarrichelloBAR,Ferrari,26,1:40.218,210.644
5,10,Jenson ButtonBUT,Williams BMW,23,1:40.699,209.638
6,22,Jacques VilleneuveVIL,BAR Honda,18,1:40.739,209.555
7,9,Ralf SchumacherRSC,Williams BMW,23,1:40.900,209.221
8,6,Jarno TrulliTRU,Jordan Mugen Honda,12,1:40.967,209.082
9,23,Ricardo ZontaZON,BAR Honda,26,1:40.980,209.055
10,16,Pedro DinizDIN,Sauber Petronas,25,1:41.002,209.009
11,7,Eddie IrvineIRV,Jaguar Cosworth,18,1:41.154,208.695
12,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,15,1:41.185,208.631
13,8,Johnny HerbertHER,Jaguar Cosworth,17,1:41.226,208.547
14,17,Mika SaloSAL,Sauber Petronas,26,1:41.634,207.710
15,18,Pedro de la RosaDLR,Arrows Supertec,26,1:42.079,206.804
16,15,Nick HeidfeldHEI,Prost Peugeot,25,1:42.356,206.244
17,11,Giancarlo FisichellaFIS,Benetton Playlife,14,1:42.416,206.124
18,14,Jean AlesiALE,Prost Peugeot,19,1:42.737,205.480
19,19,Jos VerstappenVER,Arrows Supertec,8,1:42.786,205.382
20,12,Alexander WurzWUR,Benetton Playlife,15,1:42.795,205.364
21,20,Marc GeneGEN,Minardi Fondmetal,17,1:42.815,205.324
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,15,1:43.997,202.990
