Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,David CoulthardCOU,McLaren Mercedes,28,1:19.479,192.548
2,3,Michael SchumacherMSC,Ferrari,4,1:19.656,192.121
3,7,Eddie IrvineIRV,Jaguar Cosworth,61,1:19.708,191.995
4,1,Mika HakkinenHAK,McLaren Mercedes,29,1:19.746,191.904
5,4,Rubens BarrichelloBAR,Ferrari,27,1:20.225,190.758
6,22,Jacques VilleneuveVIL,BAR Honda,3,1:20.857,189.267
7,9,Ralf SchumacherRSC,Williams BMW,3,1:20.908,189.148
8,11,Giancarlo FisichellaFIS,Benetton Playlife,45,1:20.958,189.031
9,6,Jarno TrulliTRU,Jordan Mugen Honda,26,1:21.071,188.767
10,15,Nick HeidfeldHEI,Prost Peugeot,62,1:21.115,188.665
11,10,Jenson ButtonBUT,Williams BMW,14,1:21.151,188.581
12,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,4,1:21.255,188.340
13,18,Pedro de la RosaDLR,Arrows Supertec,42,1:21.506,187.760
14,17,Mika SaloSAL,Sauber Petronas,26,1:21.725,187.257
15,16,Pedro DinizDIN,Sauber Petronas,30,1:21.753,187.193
16,8,Johnny HerbertHER,Jaguar Cosworth,4,1:21.901,186.854
17,14,Jean AlesiALE,Prost Peugeot,2,1:22.293,185.964
18,20,Marc GeneGEN,Minardi Fondmetal,23,1:22.420,185.678
19,12,Alexander WurzWUR,Benetton Playlife,27,1:22.481,185.540
20,19,Jos VerstappenVER,Arrows Supertec,25,1:22.498,185.502
21,23,Ricardo ZontaZON,BAR Honda,5,1:22.563,185.356
22,21,Gaston MazzacaneMAZ,Minardi Fondmetal,25,1:22.639,185.186
