Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,34,1:38.543,202.498
2,3,Michael SchumacherMSC,Ferrari,21,1:39.064,201.433
3,4,Rubens BarrichelloBAR,Ferrari,23,1:39.302,200.950
4,2,David CoulthardCOU,McLaren Mercedes,36,1:39.529,200.492
5,22,Jacques VilleneuveVIL,BAR Honda,20,1:40.160,199.229
6,7,Eddie IrvineIRV,Jaguar Cosworth,18,1:40.292,198.967
7,12,Alexander WurzWUR,Benetton Playlife,19,1:40.312,198.927
8,23,Ricardo ZontaZON,BAR Honda,21,1:40.498,198.559
9,8,Johnny HerbertHER,Jaguar Cosworth,27,1:40.764,198.035
10,17,Mika SaloSAL,Sauber Petronas,14,1:40.896,197.775
11,11,Giancarlo FisichellaFIS,Benetton Playlife,53,1:40.925,197.719
12,19,Jos VerstappenVER,Arrows Supertec,27,1:41.104,197.369
13,6,Jarno TrulliTRU,Jordan Mugen Honda,33,1:41.262,197.061
14,14,Jean AlesiALE,Prost Peugeot,34,1:41.634,196.339
15,9,Ralf SchumacherRSC,Williams BMW,42,1:41.729,196.156
16,20,Marc GeneGEN,Minardi Fondmetal,27,1:41.928,195.773
17,10,Jenson ButtonBUT,Williams BMW,17,1:42.226,195.202
18,21,Gaston MazzacaneMAZ,Minardi Fondmetal,24,1:43.147,193.459
19,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,3,1:44.557,190.850
