Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,60,1:26.523,205.249
2,3,Michael SchumacherMSC,Ferrari,58,1:26.774,204.655
3,2,David CoulthardCOU,McLaren Mercedes,54,1:27.014,204.091
4,9,Ralf SchumacherRSC,Williams BMW,45,1:27.339,203.331
5,16,Pedro DinizDIN,Sauber Petronas,61,1:27.814,202.231
6,4,Rubens BarrichelloBAR,Ferrari,46,1:27.899,202.036
7,17,Mika SaloSAL,Sauber Petronas,40,1:28.336,201.036
8,7,Eddie IrvineIRV,Jaguar Cosworth,60,1:28.387,200.920
9,6,Jarno TrulliTRU,Jordan Mugen Honda,57,1:28.754,200.090
10,23,Ricardo ZontaZON,BAR Honda,28,1:28.787,200.015
11,22,Jacques VilleneuveVIL,BAR Honda,39,1:28.816,199.950
12,19,Jos VerstappenVER,Arrows Supertec,54,1:28.842,199.891
13,11,Giancarlo FisichellaFIS,Benetton Playlife,59,1:28.884,199.797
14,8,Johnny HerbertHER,Jaguar Cosworth,59,1:29.049,199.427
15,12,Alexander WurzWUR,Benetton Playlife,55,1:29.180,199.134
16,15,Nick HeidfeldHEI,Prost Peugeot,16,1:29.350,198.755
17,18,Pedro de la RosaDLR,Arrows Supertec,42,1:29.370,198.710
18,14,Jean AlesiALE,Prost Peugeot,17,1:29.719,197.938
19,21,Gaston MazzacaneMAZ,Minardi Fondmetal,15,1:30.030,197.254
20,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,3,1:31.503,194.078
21,20,Marc GeneGEN,Minardi Fondmetal,5,1:31.524,194.034
22,10,Jenson ButtonBUT,Williams BMW,4,1:31.912,193.215
