Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,48,1:14.755,207.509
2,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,71,1:15.192,206.303
3,1,Mika HakkinenHAK,McLaren Mercedes,28,1:15.456,205.582
4,4,Rubens BarrichelloBAR,Ferrari,19,1:15.632,205.103
5,2,David CoulthardCOU,McLaren Mercedes,68,1:15.633,205.100
6,11,Giancarlo FisichellaFIS,Benetton Playlife,68,1:16.002,204.105
7,6,Jarno TrulliTRU,Jordan Mugen Honda,50,1:16.375,203.108
8,10,Jenson ButtonBUT,Williams BMW,41,1:16.379,203.097
9,9,Ralf SchumacherRSC,Williams BMW,67,1:16.398,203.047
10,23,Ricardo ZontaZON,BAR Honda,61,1:16.658,202.358
11,18,Pedro de la RosaDLR,Arrows Supertec,62,1:16.967,201.546
12,19,Jos VerstappenVER,Arrows Supertec,31,1:16.975,201.525
13,20,Marc GeneGEN,Minardi Fondmetal,31,1:17.174,201.005
14,21,Gaston MazzacaneMAZ,Minardi Fondmetal,65,1:17.380,200.470
15,8,Johnny HerbertHER,Jaguar Cosworth,50,1:17.696,199.655
16,7,Eddie IrvineIRV,Jaguar Cosworth,20,1:17.792,199.408
17,22,Jacques VilleneuveVIL,BAR Honda,16,1:18.379,197.915
18,14,Jean AlesiALE,Prost Peugeot,11,1:18.381,197.910
19,15,Nick HeidfeldHEI,Prost Peugeot,8,1:19.765,194.476
20,12,Alexander WurzWUR,Benetton Playlife,5,1:21.821,189.589
