Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,David CoulthardCOU,McLaren Mercedes,67,1:11.783,216.953
2,1,Mika HakkinenHAK,McLaren Mercedes,27,1:11.837,216.790
3,4,Rubens BarrichelloBAR,Ferrari,68,1:11.887,216.640
4,22,Jacques VilleneuveVIL,BAR Honda,44,1:12.630,214.423
5,9,Ralf SchumacherRSC,Williams BMW,42,1:12.811,213.890
6,23,Ricardo ZontaZON,BAR Honda,44,1:12.855,213.761
7,16,Pedro DinizDIN,Sauber Petronas,63,1:12.955,213.468
8,10,Jenson ButtonBUT,Williams BMW,46,1:12.964,213.442
9,12,Alexander WurzWUR,Benetton Playlife,65,1:13.317,212.414
10,18,Pedro de la RosaDLR,Arrows Supertec,25,1:13.490,211.914
11,15,Nick HeidfeldHEI,Prost Peugeot,38,1:13.593,211.617
12,8,Johnny HerbertHER,Jaguar Cosworth,70,1:13.613,211.560
13,20,Marc GeneGEN,Minardi Fondmetal,41,1:13.626,211.523
14,17,Mika SaloSAL,Sauber Petronas,69,1:13.674,211.385
15,21,Gaston MazzacaneMAZ,Minardi Fondmetal,67,1:13.733,211.216
16,14,Jean AlesiALE,Prost Peugeot,41,1:14.039,210.343
17,7,Luciano BurtiBUR,Jaguar Cosworth,39,1:14.098,210.175
18,19,Jos VerstappenVER,Arrows Supertec,9,1:14.227,209.810
19,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,4,1:16.588,203.342
