Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,28,1:24.470,201.586
2,3,Michael SchumacherMSC,Ferrari,2,1:24.517,201.474
3,2,David CoulthardCOU,McLaren Mercedes,26,1:24.684,201.076
4,10,Jenson ButtonBUT,Williams BMW,20,1:24.729,200.970
5,5,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,28,1:25.183,199.899
6,4,Rubens BarrichelloBAR,Ferrari,24,1:25.288,199.652
7,9,Ralf SchumacherRSC,Williams BMW,25,1:25.326,199.564
8,6,Jarno TrulliTRU,Jordan Mugen Honda,24,1:25.806,198.447
9,17,Mika SaloSAL,Sauber Petronas,29,1:25.896,198.239
10,20,Marc GeneGEN,Minardi Fondmetal,20,1:25.915,198.195
11,12,Alexander WurzWUR,Benetton Playlife,19,1:26.147,197.662
12,7,Eddie IrvineIRV,Jaguar Cosworth,64,1:26.239,197.451
13,23,Ricardo ZontaZON,BAR Honda,26,1:26.241,197.446
14,11,Giancarlo FisichellaFIS,Benetton Playlife,34,1:26.352,197.192
15,15,Nick HeidfeldHEI,Prost Peugeot,19,1:26.663,196.485
16,8,Johnny HerbertHER,Jaguar Cosworth,40,1:26.685,196.435
17,22,Jacques VilleneuveVIL,BAR Honda,8,1:26.701,196.399
18,19,Jos VerstappenVER,Arrows Supertec,18,1:27.152,195.382
19,21,Gaston MazzacaneMAZ,Minardi Fondmetal,24,1:27.538,194.521
