Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:14.755,,22
2,6,Nico RosbergROS,Mercedes,1:15.086,+0.331s,30
3,5,Sebastian VettelVET,Ferrari,1:15.243,+0.488s,22
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:15.553,+0.798s,29
5,7,Kimi RäikkönenRAI,Ferrari,1:15.618,+0.863s,23
6,77,Valtteri BottasBOT,Williams Mercedes,1:16.301,+1.546s,30
7,27,Nico HulkenbergHUL,Force India Mercedes,1:16.464,+1.709s,24
8,55,Carlos SainzSAI,Toro Rosso Ferrari,1:16.543,+1.788s,21
9,11,Sergio PerezPER,Force India Mercedes,1:16.577,+1.822s,25
10,14,Fernando AlonsoALO,McLaren Honda,1:16.663,+1.908s,18
11,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:16.734,+1.979s,28
12,22,Jenson ButtonBUT,McLaren Honda,1:16.788,+2.033s,8
13,8,Romain GrosjeanGRO,Haas Ferrari,1:17.008,+2.253s,22
14,19,Felipe MassaMAS,Williams Mercedes,1:17.065,+2.310s,7
15,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:17.310,+2.555s,24
16,21,Esteban Gutierrez GUT,Haas Ferrari,1:17.319,+2.564s,24
17,12,Felipe NasrNAS,Sauber Ferrari,1:17.855,+3.100s,21
18,88,Rio HaryantoHAR,MRT Mercedes,1:18.103,+3.348s,21
19,9,Marcus EricssonERI,Sauber Ferrari,1:18.129,+3.374s,8
20,20,Kevin MagnussenMAG,Renault,1:18.409,+3.654s,13
21,94,Pascal WehrleinWEH,MRT Mercedes,1:18.453,+3.698s,30
22,30,Jolyon PalmerPAL,Renault,1:18.583,+3.828s,28
