Pos,No,Driver,Car,Time
1,14,Juan Manuel FangioFAN,Alfa Romeo,2:42.100
2,16,Nino FarinaFAR,Alfa Romeo,2:42.800
3,12,Luigi FagioliFAG,Alfa Romeo,2:45.200
4,22,Luigi  VilloresiVIL,Ferrari,2:46.100
5,18,Alberto AscariASC,Ferrari,2:46.800
6,42,Philippe  EtancelinETA,Talbot-Lago,2:51.100
7,6,Yves Giraud-CabantousGIR,Talbot-Lago,2:52.700
8,30,Prince BiraBIR,Maserati,2:53.200
9,8,Eugene  MartinMAR,Talbot-Lago,2:53.700
10,10,Louis  RosierROS,Talbot-Lago,2:54.000
11,32,Toulo de GraffenriedDEG,Maserati,2:54.200
12,34,Felice  BonettoBON,Maserati,2:54.600
13,20,Raymond  SommerSOM,Ferrari,2:54.600
14,4,Johnny ClaesCLA,Talbot-Lago,2:59.000
15,2,Nello  PaganiPAG,Maserati,3:06.900
16,26,Louis  ChironCHI,Maserati,3:06.900
17,30,Toni  BrancaBRA,Maserati,3:10.000
18,44,Harry SchellSCH,Cooper JAP,3:11.500
