Pos,No,Driver,Car,Time,Gap,Laps
1,3,Lewis HamiltonHAM,McLaren Mercedes,1:50.828,,26
2,4,Jenson ButtonBUT,McLaren Mercedes,1:50.932,+0.104s,19
3,1,Sebastian VettelVET,Red Bull Racing Renault,1:52.646,+1.818s,30
4,5,Fernando AlonsoALO,Ferrari,1:52.774,+1.946s,25
5,2,Mark WebberWEB,Red Bull Racing Renault,1:53.049,+2.221s,27
6,19,Jaime AlguersuariALG,STR Ferrari,1:53.402,+2.574s,25
7,6,Felipe MassaMAS,Ferrari,1:53.707,+2.879s,24
8,8,Nico RosbergROS,Mercedes,1:53.914,+3.086s,18
9,18,Sebastien BuemiBUE,STR Ferrari,1:53.948,+3.120s,27
10,15,Paul di RestaDIR,Force India Mercedes,1:53.957,+3.129s,32
11,10,Vitaly PetrovPET,Renault,1:54.200,+3.372s,26
12,14,Adrian SutilSUT,Force India Mercedes,1:54.392,+3.564s,26
13,11,Rubens BarrichelloBAR,Williams Cosworth,1:54.831,+4.003s,30
14,7,Michael SchumacherMSC,Mercedes,1:54.965,+4.137s,21
15,9,Bruno SennaSEN,Renault,1:55.187,+4.359s,28
16,17,Sergio PerezPER,Sauber Ferrari,1:55.203,+4.375s,24
17,16,Kamui KobayashiKOB,Sauber Ferrari,1:55.544,+4.716s,23
18,12,Pastor MaldonadoMAL,Williams Cosworth,1:56.067,+5.239s,22
19,20,Heikki KovalainenKOV,Lotus Renault,1:56.669,+5.841s,20
20,21,Jarno TrulliTRU,Lotus Renault,1:57.173,+6.345s,19
21,24,Timo GlockGLO,Virgin Cosworth,1:58.269,+7.441s,25
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:59.458,+8.630s,26
23,22,Daniel RicciardoRIC,HRT Cosworth,1:59.958,+9.130s,19
24,23,Vitantonio LiuzziLIU,HRT Cosworth,2:00.165,+9.337s,20
