Pos,No,Driver,Car,Time,Gap,Laps
1,6,Felipe MassaMAS,Ferrari,1:25.706,,33
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:25.794,+0.088s,34
3,5,Fernando AlonsoALO,Ferrari,1:25.930,+0.224s,34
4,3,Lewis HamiltonHAM,McLaren Mercedes,1:26.454,+0.748s,26
5,2,Mark WebberWEB,Red Bull Racing Renault,1:26.500,+0.794s,30
6,4,Jenson ButtonBUT,McLaren Mercedes,1:26.714,+1.008s,28
7,14,Adrian SutilSUT,Force India Mercedes,1:27.316,+1.610s,34
8,9,Bruno SennaSEN,Renault,1:27.498,+1.792s,36
9,15,Paul di RestaDIR,Force India Mercedes,1:27.853,+2.147s,35
10,18,Sebastien BuemiBUE,STR Ferrari,1:27.868,+2.162s,35
11,10,Vitaly PetrovPET,Renault,1:27.890,+2.184s,37
12,16,Kamui KobayashiKOB,Sauber Ferrari,1:28.050,+2.344s,34
13,17,Sergio PerezPER,Sauber Ferrari,1:28.289,+2.583s,36
14,19,Jaime AlguersuariALG,STR Ferrari,1:28.552,+2.846s,31
15,11,Rubens BarrichelloBAR,Williams Cosworth,1:28.691,+2.985s,29
16,12,Pastor MaldonadoMAL,Williams Cosworth,1:28.708,+3.002s,24
17,21,Jarno TrulliTRU,Lotus Renault,1:29.332,+3.626s,39
18,20,Heikki KovalainenKOV,Lotus Renault,1:30.241,+4.535s,41
19,8,Nico RosbergROS,Mercedes,1:31.098,+5.392s,38
20,24,Timo GlockGLO,Virgin Cosworth,1:31.469,+5.763s,32
21,7,Michael SchumacherMSC,Mercedes,1:31.804,+6.098s,28
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:32.593,+6.887s,12
23,23,Daniel RicciardoRIC,HRT Cosworth,1:32.768,+7.062s,33
24,22,Narain KarthikeyanKAR,HRT Cosworth,1:32.824,+7.118s,33
