Pos,No,Driver,Car,Time
1,8,Carlos PacePAC,Brabham Ford,1:16.410
2,7,Carlos ReutemannREU,Brabham Ford,1:16.480
3,3,Jody ScheckterSCH,Tyrrell Ford,1:16.640
4,12,Niki LaudaLAU,Ferrari,1:16.830
5,4,Patrick DepaillerDEP,Tyrrell Ford,1:16.830
6,27,Mario AndrettiAND,Parnelli Ford,1:16.890
7,9,Vittorio BrambillaBRA,March Ford,1:17.050
8,5,Ronnie PetersonPET,Lotus Ford,1:17.140
9,11,Clay RegazzoniREG,Ferrari,1:17.160
10,18,John WatsonWAT,Surtees Ford,1:17.170
11,1,Emerson FittipaldiFIT,McLaren Ford,1:17.220
12,24,James HuntHUN,Hesketh Ford,1:17.300
13,17,Jean-Pierre JarierJAR,Shadow Matra,1:17.320
14,23,Rolf StommelenSTO,Lola Ford,1:17.470
15,20,Arturo MerzarioMER,Frank Williams Racing Cars/Williams,1:17.530
16,2,Jochen MassMAS,McLaren Ford,1:17.790
17,32,Ian ScheckterSCH,Tyrrell Ford,1:18.010
18,28,Mark DonohueDON,March Ford,1:18.280
19,16,Tom PrycePRY,Shadow Matra,1:18.360
20,31,Dave CharltonCHA,McLaren Ford,1:18.510
21,6,Jacky IckxICK,Lotus Ford,1:18.680
22,33,Eddie  KeizanKEI,Lotus Ford,1:19.010
23,21,Jacques LaffiteLAF,Frank Williams Racing Cars/Williams,1:19.150
24,14,Bob EvansEVA,BRM,1:19.170
25,34,Guy   TunmerTUN,Lotus Ford,1:19.520
26,10,Lella LombardiLOM,March Ford,1:19.680
27,30,Wilson FittipaldiFIT,Fittipaldi Ford,1:19.730
