Pos,No,Driver,Car,Time
1,9,Vittorio BrambillaBRA,March Ford,1:24.630
2,4,Patrick DepaillerDEP,Tyrrell Ford,1:25.010
3,17,Jean-Pierre JarierJAR,Shadow Matra,1:25.060
4,7,Carlos ReutemannREU,Brabham Ford,1:25.180
5,12,Niki LaudaLAU,Ferrari,1:25.457
6,8,Carlos PacePAC,Brabham Ford,1:25.802
7,16,Tom PrycePRY,Shadow Matra,1:25.866
8,3,Jody ScheckterSCH,Tyrrell Ford,1:25.900
9,5,Ronnie PetersonPET,Lotus Ford,1:26.012
10,18,John WatsonWAT,Surtees Ford,1:26.085
11,1,Emerson FittipaldiFIT,McLaren Ford,1:26.088
12,11,Clay RegazzoniREG,Ferrari,1:26.283
13,24,James HuntHUN,Hesketh Ford,1:26.500
14,2,Jochen MassMAS,McLaren Ford,1:26.773
15,27,Mario AndrettiAND,Parnelli Ford,1:26.821
16,28,Mark DonohueDON,March Ford,1:27.154
17,23,Tony BriseBRI,Lola Ford,1:27.318
18,6,Jacky IckxICK,Lotus Ford,1:27.320
19,26,Alan  JonesJON,Hesketh Ford,1:27.375
20,21,Ian ScheckterSCH,Frank Williams Racing Cars/Williams,1:27.470
21,32,Torsten   PalmPAL,Hesketh Ford,1:27.642
22,20,Damien MageeMAG,Frank Williams Racing Cars/Williams,1:27.676
23,14,Bob EvansEVA,BRM,1:28.422
24,10,Lella LombardiLOM,March Ford,1:28.687
25,30,Wilson FittipaldiFIT,Fittipaldi Ford,1:28.810
26,22,Vern SchuppanSCH,Lola Ford,1:29.032
