Pos,No,Driver,Car,Time
1,17,Jean-Pierre JarierJAR,Shadow Matra,1:49.210
2,8,Carlos PacePAC,Brabham Ford,1:49.640
3,7,Carlos ReutemannREU,Brabham Ford,1:49.800
4,12,Niki LaudaLAU,Ferrari,1:49.960
5,1,Emerson FittipaldiFIT,McLaren Ford,1:50.020
6,24,James HuntHUN,Hesketh Ford,1:50.260
7,11,Clay RegazzoniREG,Ferrari,1:50.710
8,4,Patrick DepaillerDEP,Tyrrell Ford,1:50.800
9,3,Jody ScheckterSCH,Tyrrell Ford,1:50.820
10,27,Mario AndrettiAND,Parnelli Ford,1:51.060
11,5,Ronnie PetersonPET,Lotus Ford,1:51.440
12,9,Vittorio BrambillaBRA,March Ford,1:51.770
13,2,Jochen MassMAS,McLaren Ford,1:51.820
14,16,Tom PrycePRY,Shadow Matra,1:51.920
15,18,John WatsonWAT,Surtees Ford,1:52.130
16,28,Mark DonohueDON,March Ford,1:52.360
17,21,Jacques LaffiteLAF,Frank Williams Racing Cars/Williams,1:52.880
18,6,Jacky IckxICK,Lotus Ford,1:52.900
19,23,Rolf StommelenSTO,Lola Ford,1:53.120
20,20,Arturo MerzarioMER,Frank Williams Racing Cars/Williams,1:53.430
21,22,Graham HillHIL,Lola Ford,1:54.000
22,14,Mike WildsWIL,BRM,1:54.480
23,30,Wilson FittipaldiFIT,Fittipaldi Ford,2:00.220
