Pos,No,Driver,Car,Time
1,12,Niki LaudaLAU,Ferrari,1:47.820
2,3,Jody ScheckterSCH,Tyrrell Ford,1:48.220
3,24,James HuntHUN,Hesketh Ford,1:48.250
4,17,Jean-Pierre JarierJAR,Shadow Matra,1:48.440
5,8,Carlos PacePAC,Brabham Ford,1:48.480
6,16,Tom PrycePRY,Shadow Matra,1:48.480
7,2,Jochen MassMAS,McLaren Ford,1:48.540
8,9,Vittorio BrambillaBRA,March Ford,1:48.560
9,11,Clay RegazzoniREG,Ferrari,1:48.680
10,1,Emerson FittipaldiFIT,McLaren Ford,1:48.750
11,7,Carlos ReutemannREU,Brabham Ford,1:48.850
12,23,Tony BriseBRI,Lola Ford,1:49.210
13,4,Patrick DepaillerDEP,Tyrrell Ford,1:49.310
14,18,John WatsonWAT,Surtees Ford,1:49.700
15,27,Mario AndrettiAND,Parnelli Ford,1:49.720
16,21,Jacques LaffiteLAF,Frank Williams Racing Cars/Williams,1:49.720
17,5,Ronnie PetersonPET,Lotus Ford,1:50.040
18,28,Mark DonohueDON,March Ford,1:50.150
19,6,Jacky IckxICK,Lotus Ford,1:50.940
20,22,Alan  JonesJON,Lola Ford,1:51.020
21,15,Jean-Pierre JabouilleJAB,Tyrrell Ford,1:51.060
22,31,Gijs van LennepVAN,Ensign Ford,1:51.210
23,30,Wilson FittipaldiFIT,Fittipaldi Ford,1:51.640
24,20,Francois  MigaultMIG,Frank Williams Racing Cars/Williams,1:51.820
25,14,Bob EvansEVA,BRM,1:51.850
26,10,Lella LombardiLOM,March Ford,1:52.970
