Pos,No,Driver,Car,Time
1,12,Ayrton SennaSEN,Lotus Renault,1:16.990
2,6,Nelson PiquetPIQ,Williams Honda,1:17.279
3,5,Nigel MansellMAN,Williams Honda,1:17.514
4,20,Gerhard BergerBER,Benetton BMW,1:17.609
5,7,Riccardo PatresePAT,Brabham BMW,1:18.285
6,1,Alain ProstPRO,McLaren TAG,1:18.421
7,8,Derek WarwickWAR,Brabham BMW,1:18.527
8,16,Patrick TambayTAM,Lola Hart,1:18.839
9,19,Teo FabiFAB,Benetton BMW,1:18.893
10,26,Philippe AlliotALL,Ligier Renault,1:19.257
11,2,Keke RosbergROS,McLaren TAG,1:19.342
12,27,Michele AlboretoALB,Ferrari,1:19.388
13,25,Rene ArnouxARN,Ligier Renault,1:19.624
14,28,Stefan JohanssonJOH,Ferrari,1:19.769
15,15,Alan  JonesJON,Lola Hart,1:20.090
16,3,Martin BrundleBRU,Tyrrell Renault,1:20.198
17,11,Johnny DumfriesDUM,Lotus Renault,1:20.479
18,14,Jonathan  PalmerPAL,Zakspeed,1:20.668
19,4,Philippe StreiffSTR,Tyrrell Renault,1:20.946
20,17,Christian DannerDAN,Arrows BMW,1:21.069
21,18,Thierry BoutsenBOU,Arrows BMW,1:21.171
22,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:22.470
23,29,Huub RothengatterROT,Zakspeed,1:22.524
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:23.457
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:24.176
26,22,Allen BergBER,Osella Alfa Romeo,1:26.573
